"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Amazonas","province",5,10,4,"cases"
NA,"Colombia-Caqueta","province",41,6600,16,"cases"
NA,"Colombia-Guainia","province",25,53,1,"cases"
NA,"Colombia-Guaviare","province",105,1886,0,"cases"
NA,"Colombia-Vaupes","province",3,2,1,"cases"
NA,"Colombia-Putumayo","province",20,875,0,"cases"
NA,"Colombia-Antioquia","province",173,14576,160,"cases"
NA,"Colombia-Bogota","province",1,0,14,"cases"
NA,"Colombia-Caldas","province",57,2952,18,"cases"
NA,"Colombia-Cundinamarca","province",249,17574,27,"cases"
NA,"Colombia-Huila","province",205,28633,0,"cases"
NA,"Colombia-Quindio","province",29,5780,0,"cases"
NA,"Colombia-Risaralda","province",65,4744,1,"cases"
NA,"Colombia-Tolima","province",349,41050,33,"cases"
NA,"Colombia-Boyaca","province",67,736,30,"cases"
NA,"Colombia-Norte_Santander","province",86,6110,6,"cases"
NA,"Colombia-Santander","province",89,11560,84,"cases"
NA,"Colombia-Arauca","province",64,5464,0,"cases"
NA,"Colombia-Casanare","province",136,15507,0,"cases"
NA,"Colombia-Meta","province",129,20969,79,"cases"
NA,"Colombia-Vichada","province",26,282,0,"cases"
NA,"Colombia-Cauca","province",50,3731,5,"cases"
NA,"Colombia-Choco","province",31,940,54,"cases"
NA,"Colombia-Narino","province",48,2250,34,"cases"
NA,"Colombia-Valle","province",1023,118802,4,"cases"
NA,"Colombia-Atlantico","province",7,1978,0,"cases"
NA,"Colombia-Barranquilla","province",3,6011,0,"cases"
NA,"Colombia-Bolivar","province",7,620,0,"cases"
NA,"Colombia-Cartagena","province",5,497,0,"cases"
NA,"Colombia-Cesar","province",48,3781,0,"cases"
NA,"Colombia-Cordoba","province",9,12627,1,"cases"
NA,"Colombia-Guajira","province",9,4475,0,"cases"
NA,"Colombia-Magdalena","province",4,2505,0,"cases"
NA,"Colombia-San_Andres","province",2,1229,2,"cases"
NA,"Colombia-Santa_Marta","province",7,1619,0,"cases"
NA,"Colombia-Sucre","province",11,6965,0,"cases"
