"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Amazonas","province",1,0,9,"cases"
NA,"Colombia-Caqueta","province",1,4,11,"cases"
NA,"Colombia-Guainia","province",0,0,7,"cases"
NA,"Colombia-Guaviare","province",0,0,1,"cases"
NA,"Colombia-Putumayo","province",21,75,2,"cases"
NA,"Colombia-Antioquia","province",6,2002,76,"cases"
NA,"Colombia-Bogota","province",1,0,99,"cases"
NA,"Colombia-Caldas","province",3,1100,11,"cases"
NA,"Colombia-Cundinamarca","province",2,1681,95,"cases"
NA,"Colombia-Huila","province",9,4307,60,"cases"
NA,"Colombia-Quindio","province",1,25,0,"cases"
NA,"Colombia-Risaralda","province",2,19,0,"cases"
NA,"Colombia-Tolima","province",2,1852,168,"cases"
NA,"Colombia-Boyaca","province",6,22,9,"cases"
NA,"Colombia-Norte_Santander","province",78,25620,65,"cases"
NA,"Colombia-Santander","province",8,535,38,"cases"
NA,"Colombia-Arauca","province",3,85,238,"cases"
NA,"Colombia-Casanare","province",2,47,4,"cases"
NA,"Colombia-Meta","province",2,97,12,"cases"
NA,"Colombia-Vichada","province",0,0,8,"cases"
NA,"Colombia-Cauca","province",3,18,59,"cases"
NA,"Colombia-Choco","province",0,2,5,"cases"
NA,"Colombia-Narino","province",3,10,112,"cases"
NA,"Colombia-Valle","province",22,570,130,"cases"
NA,"Colombia-Atlantico","province",27,2420,27,"cases"
NA,"Colombia-Barranquilla","province",7,4538,0,"cases"
NA,"Colombia-Bolivar","province",138,17918,0,"cases"
NA,"Colombia-Cartagena","province",16,12343,0,"cases"
NA,"Colombia-Cesar","province",25,881,7,"cases"
NA,"Colombia-Cordoba","province",59,6379,8,"cases"
NA,"Colombia-Guajira","province",29,6985,12,"cases"
NA,"Colombia-Magdalena","province",28,3671,38,"cases"
NA,"Colombia-San_Andres","province",2,213,2,"cases"
NA,"Colombia-Santa_Marta","province",6,4317,0,"cases"
NA,"Colombia-Sucre","province",70,15016,1,"cases"
