"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Amazonas","province",1,0,18,"cases"
NA,"Colombia-Caqueta","province",1,34,100,"cases"
NA,"Colombia-Guainia","province",0,0,7,"cases"
NA,"Colombia-Guaviare","province",0,0,7,"cases"
NA,"Colombia-Vaupes","province",0,0,0,"cases"
NA,"Colombia-Putumayo","province",24,87,2,"cases"
NA,"Colombia-Antioquia","province",47,6011,99,"cases"
NA,"Colombia-Bogota","province",1,0,223,"cases"
NA,"Colombia-Caldas","province",14,1873,19,"cases"
NA,"Colombia-Cundinamarca","province",53,9590,216,"cases"
NA,"Colombia-Huila","province",37,17753,138,"cases"
NA,"Colombia-Quindio","province",1,99,1,"cases"
NA,"Colombia-Risaralda","province",4,34,0,"cases"
NA,"Colombia-Tolima","province",36,13328,2245,"cases"
NA,"Colombia-Boyaca","province",8,16,52,"cases"
NA,"Colombia-Norte_Santander","province",344,28813,197,"cases"
NA,"Colombia-Santander","province",12,1467,85,"cases"
NA,"Colombia-Arauca","province",3,150,849,"cases"
NA,"Colombia-Casanare","province",2,461,14,"cases"
NA,"Colombia-Meta","province",4,320,70,"cases"
NA,"Colombia-Vichada","province",0,0,10,"cases"
NA,"Colombia-Cauca","province",6,40,112,"cases"
NA,"Colombia-Choco","province",2,1,9,"cases"
NA,"Colombia-Narino","province",3,15,17,"cases"
NA,"Colombia-Valle","province",24,5589,4,"cases"
NA,"Colombia-Atlantico","province",32,3195,33,"cases"
NA,"Colombia-Barranquilla","province",16,6602,0,"cases"
NA,"Colombia-Bolivar","province",302,18249,0,"cases"
NA,"Colombia-Cartagena","province",28,12545,0,"cases"
NA,"Colombia-Cesar","province",35,1934,16,"cases"
NA,"Colombia-Cordoba","province",91,14560,9,"cases"
NA,"Colombia-Guajira","province",46,10520,26,"cases"
NA,"Colombia-Magdalena","province",30,5035,335,"cases"
NA,"Colombia-San_Andres","province",5,547,9,"cases"
NA,"Colombia-Santa_Marta","province",10,5582,0,"cases"
NA,"Colombia-Sucre","province",95,19268,2,"cases"
