"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Amazonas","province",2,7,4,"cases"
NA,"Colombia-Caqueta","province",18,5108,492,"cases"
NA,"Colombia-Guainia","province",5,61,1,"cases"
NA,"Colombia-Guaviare","province",2,1132,24,"cases"
NA,"Colombia-Vaupes","province",0,0,2,"cases"
NA,"Colombia-Putumayo","province",3,359,5,"cases"
NA,"Colombia-Antioquia","province",33,12174,100,"cases"
NA,"Colombia-Bogota","province",1,0,194,"cases"
NA,"Colombia-Caldas","province",8,2548,47,"cases"
NA,"Colombia-Cundinamarca","province",82,15182,146,"cases"
NA,"Colombia-Huila","province",78,26789,85,"cases"
NA,"Colombia-Quindio","province",0,2172,2,"cases"
NA,"Colombia-Risaralda","province",5,1905,0,"cases"
NA,"Colombia-Tolima","province",107,35362,569,"cases"
NA,"Colombia-Boyaca","province",18,579,40,"cases"
NA,"Colombia-Norte_Santander","province",27,5864,61,"cases"
NA,"Colombia-Santander","province",7,6837,72,"cases"
NA,"Colombia-Arauca","province",1,4758,4,"cases"
NA,"Colombia-Casanare","province",17,13329,52,"cases"
NA,"Colombia-Meta","province",38,16153,392,"cases"
NA,"Colombia-Vichada","province",0,0,154,"cases"
NA,"Colombia-Cauca","province",8,3004,208,"cases"
NA,"Colombia-Choco","province",8,421,246,"cases"
NA,"Colombia-Narino","province",13,1074,52,"cases"
NA,"Colombia-Valle","province",44,96924,35,"cases"
NA,"Colombia-Atlantico","province",0,1620,14,"cases"
NA,"Colombia-Barranquilla","province",0,4584,0,"cases"
NA,"Colombia-Bolivar","province",1,499,0,"cases"
NA,"Colombia-Cartagena","province",0,373,0,"cases"
NA,"Colombia-Cesar","province",10,3547,11,"cases"
NA,"Colombia-Cordoba","province",4,12303,11,"cases"
NA,"Colombia-Guajira","province",7,4441,19,"cases"
NA,"Colombia-Magdalena","province",1,1907,8,"cases"
NA,"Colombia-San_Andres","province",0,596,3,"cases"
NA,"Colombia-Santa_Marta","province",4,1554,0,"cases"
NA,"Colombia-Sucre","province",5,6564,0,"cases"
