"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Amazonas","province",1,0,7,"cases"
NA,"Colombia-Caqueta","province",0,0,4,"cases"
NA,"Colombia-Guainia","province",0,0,3,"cases"
NA,"Colombia-Putumayo","province",15,59,6,"cases"
NA,"Colombia-Antioquia","province",3,28,142,"cases"
NA,"Colombia-Bogota","province",1,0,16,"cases"
NA,"Colombia-Caldas","province",3,10,16,"cases"
NA,"Colombia-Cundinamarca","province",2,15,17,"cases"
NA,"Colombia-Huila","province",9,141,6,"cases"
NA,"Colombia-Quindio","province",0,0,10,"cases"
NA,"Colombia-Risaralda","province",2,1,9,"cases"
NA,"Colombia-Tolima","province",1,1,20,"cases"
NA,"Colombia-Boyaca","province",6,9,7,"cases"
NA,"Colombia-Norte_Santander","province",25,7683,131,"cases"
NA,"Colombia-Santander","province",6,40,47,"cases"
NA,"Colombia-Arauca","province",2,1,24,"cases"
NA,"Colombia-Casanare","province",2,10,9,"cases"
NA,"Colombia-Meta","province",2,43,8,"cases"
NA,"Colombia-Vichada","province",0,0,6,"cases"
NA,"Colombia-Cauca","province",3,2,6,"cases"
NA,"Colombia-Choco","province",0,0,4,"cases"
NA,"Colombia-Narino","province",1,6,9,"cases"
NA,"Colombia-Valle","province",11,180,25,"cases"
NA,"Colombia-Atlantico","province",19,466,523,"cases"
NA,"Colombia-Barranquilla","province",4,848,0,"cases"
NA,"Colombia-Bolivar","province",118,16623,0,"cases"
NA,"Colombia-Cartagena","province",10,10951,0,"cases"
NA,"Colombia-Cesar","province",16,84,174,"cases"
NA,"Colombia-Cordoba","province",44,412,181,"cases"
NA,"Colombia-Guajira","province",14,1417,83,"cases"
NA,"Colombia-Magdalena","province",5,660,617,"cases"
NA,"Colombia-San_Andres","province",1,27,1,"cases"
NA,"Colombia-Santa_Marta","province",3,1348,0,"cases"
NA,"Colombia-Sucre","province",48,4448,1631,"cases"
