"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Amazonas","province",1,0,9,"cases"
NA,"Colombia-Caqueta","province",0,0,4,"cases"
NA,"Colombia-Guainia","province",0,0,3,"cases"
NA,"Colombia-Putumayo","province",21,67,7,"cases"
NA,"Colombia-Antioquia","province",5,87,967,"cases"
NA,"Colombia-Bogota","province",1,0,39,"cases"
NA,"Colombia-Caldas","province",3,9,41,"cases"
NA,"Colombia-Cundinamarca","province",2,483,147,"cases"
NA,"Colombia-Huila","province",9,1903,131,"cases"
NA,"Colombia-Quindio","province",1,11,10,"cases"
NA,"Colombia-Risaralda","province",2,1,10,"cases"
NA,"Colombia-Tolima","province",2,101,796,"cases"
NA,"Colombia-Boyaca","province",6,10,17,"cases"
NA,"Colombia-Norte_Santander","province",78,23676,331,"cases"
NA,"Colombia-Santander","province",6,304,99,"cases"
NA,"Colombia-Arauca","province",3,49,235,"cases"
NA,"Colombia-Casanare","province",2,20,13,"cases"
NA,"Colombia-Meta","province",2,70,11,"cases"
NA,"Colombia-Vichada","province",0,0,8,"cases"
NA,"Colombia-Cauca","province",3,2,58,"cases"
NA,"Colombia-Choco","province",0,0,6,"cases"
NA,"Colombia-Narino","province",3,8,9,"cases"
NA,"Colombia-Valle","province",21,325,57,"cases"
NA,"Colombia-Atlantico","province",27,1560,441,"cases"
NA,"Colombia-Barranquilla","province",7,3453,0,"cases"
NA,"Colombia-Bolivar","province",139,16868,0,"cases"
NA,"Colombia-Cartagena","province",15,12222,0,"cases"
NA,"Colombia-Cesar","province",24,463,187,"cases"
NA,"Colombia-Cordoba","province",59,3314,348,"cases"
NA,"Colombia-Guajira","province",29,6243,136,"cases"
NA,"Colombia-Magdalena","province",28,2085,838,"cases"
NA,"Colombia-San_Andres","province",2,202,2,"cases"
NA,"Colombia-Santa_Marta","province",6,3956,0,"cases"
NA,"Colombia-Sucre","province",69,12988,407,"cases"
