"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Amazonas","province",2,7,4,"cases"
NA,"Colombia-Caqueta","province",18,4212,426,"cases"
NA,"Colombia-Guainia","province",5,20,1,"cases"
NA,"Colombia-Guaviare","province",2,617,2,"cases"
NA,"Colombia-Vaupes","province",0,0,1,"cases"
NA,"Colombia-Putumayo","province",3,211,4,"cases"
NA,"Colombia-Antioquia","province",31,11116,100,"cases"
NA,"Colombia-Bogota","province",1,0,197,"cases"
NA,"Colombia-Caldas","province",8,2503,31,"cases"
NA,"Colombia-Cundinamarca","province",80,14373,137,"cases"
NA,"Colombia-Huila","province",76,25415,110,"cases"
NA,"Colombia-Quindio","province",0,996,2,"cases"
NA,"Colombia-Risaralda","province",5,913,1,"cases"
NA,"Colombia-Tolima","province",104,32493,790,"cases"
NA,"Colombia-Boyaca","province",17,509,38,"cases"
NA,"Colombia-Norte_Santander","province",24,5739,63,"cases"
NA,"Colombia-Santander","province",7,5162,54,"cases"
NA,"Colombia-Arauca","province",1,3699,3,"cases"
NA,"Colombia-Casanare","province",17,9766,34,"cases"
NA,"Colombia-Meta","province",30,11383,323,"cases"
NA,"Colombia-Vichada","province",0,0,96,"cases"
NA,"Colombia-Cauca","province",6,2355,188,"cases"
NA,"Colombia-Choco","province",8,343,177,"cases"
NA,"Colombia-Narino","province",13,978,42,"cases"
NA,"Colombia-Valle","province",44,74794,32,"cases"
NA,"Colombia-Atlantico","province",0,1618,14,"cases"
NA,"Colombia-Barranquilla","province",0,4318,0,"cases"
NA,"Colombia-Bolivar","province",1,455,0,"cases"
NA,"Colombia-Cartagena","province",0,371,0,"cases"
NA,"Colombia-Cesar","province",9,2999,11,"cases"
NA,"Colombia-Cordoba","province",3,12084,11,"cases"
NA,"Colombia-Guajira","province",7,4423,19,"cases"
NA,"Colombia-Magdalena","province",1,1745,8,"cases"
NA,"Colombia-San_Andres","province",0,540,3,"cases"
NA,"Colombia-Santa_Marta","province",4,1548,0,"cases"
NA,"Colombia-Sucre","province",2,6443,0,"cases"
