"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Amazonas","province",1,6,4,"cases"
NA,"Colombia-Caqueta","province",5,1605,330,"cases"
NA,"Colombia-Guainia","province",0,0,10,"cases"
NA,"Colombia-Guaviare","province",0,0,154,"cases"
NA,"Colombia-Vaupes","province",0,0,1,"cases"
NA,"Colombia-Putumayo","province",2,89,3,"cases"
NA,"Colombia-Antioquia","province",30,8928,746,"cases"
NA,"Colombia-Bogota","province",0,0,189,"cases"
NA,"Colombia-Caldas","province",7,2212,26,"cases"
NA,"Colombia-Cundinamarca","province",30,12990,128,"cases"
NA,"Colombia-Huila","province",24,23691,91,"cases"
NA,"Colombia-Quindio","province",0,512,2,"cases"
NA,"Colombia-Risaralda","province",4,378,1,"cases"
NA,"Colombia-Tolima","province",12,29120,736,"cases"
NA,"Colombia-Boyaca","province",3,453,27,"cases"
NA,"Colombia-Norte_Santander","province",18,5480,143,"cases"
NA,"Colombia-Santander","province",3,3404,71,"cases"
NA,"Colombia-Arauca","province",0,2154,572,"cases"
NA,"Colombia-Casanare","province",1,5303,373,"cases"
NA,"Colombia-Meta","province",8,4444,336,"cases"
NA,"Colombia-Vichada","province",0,0,21,"cases"
NA,"Colombia-Cauca","province",1,430,1329,"cases"
NA,"Colombia-Choco","province",2,73,294,"cases"
NA,"Colombia-Narino","province",0,682,33,"cases"
NA,"Colombia-Valle","province",33,44134,12,"cases"
NA,"Colombia-Atlantico","province",0,1494,14,"cases"
NA,"Colombia-Barranquilla","province",0,3952,0,"cases"
NA,"Colombia-Bolivar","province",1,425,0,"cases"
NA,"Colombia-Cartagena","province",0,341,0,"cases"
NA,"Colombia-Cesar","province",6,2619,10,"cases"
NA,"Colombia-Cordoba","province",2,11689,10,"cases"
NA,"Colombia-Guajira","province",1,4399,18,"cases"
NA,"Colombia-Magdalena","province",0,1719,7,"cases"
NA,"Colombia-San_Andres","province",0,516,3,"cases"
NA,"Colombia-Santa_Marta","province",3,1535,0,"cases"
NA,"Colombia-Sucre","province",0,6140,0,"cases"
