"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Amazonas","province",4,8,4,"cases"
NA,"Colombia-Caqueta","province",28,6165,80,"cases"
NA,"Colombia-Guainia","province",18,56,1,"cases"
NA,"Colombia-Guaviare","province",28,1515,0,"cases"
NA,"Colombia-Vaupes","province",2,2,1,"cases"
NA,"Colombia-Putumayo","province",6,442,0,"cases"
NA,"Colombia-Antioquia","province",34,13364,131,"cases"
NA,"Colombia-Bogota","province",1,0,213,"cases"
NA,"Colombia-Caldas","province",21,2673,25,"cases"
NA,"Colombia-Cundinamarca","province",175,15969,39,"cases"
NA,"Colombia-Huila","province",149,27524,0,"cases"
NA,"Colombia-Quindio","province",0,4230,0,"cases"
NA,"Colombia-Risaralda","province",18,2756,0,"cases"
NA,"Colombia-Tolima","province",183,38181,10,"cases"
NA,"Colombia-Boyaca","province",48,585,41,"cases"
NA,"Colombia-Norte_Santander","province",46,5966,16,"cases"
NA,"Colombia-Santander","province",14,9103,76,"cases"
NA,"Colombia-Arauca","province",10,5292,0,"cases"
NA,"Colombia-Casanare","province",41,15177,0,"cases"
NA,"Colombia-Meta","province",67,18403,103,"cases"
NA,"Colombia-Vichada","province",24,150,0,"cases"
NA,"Colombia-Cauca","province",29,3535,50,"cases"
NA,"Colombia-Choco","province",19,742,152,"cases"
NA,"Colombia-Narino","province",36,1103,36,"cases"
NA,"Colombia-Valle","province",90,111308,0,"cases"
NA,"Colombia-Atlantico","province",0,1694,0,"cases"
NA,"Colombia-Barranquilla","province",0,5002,0,"cases"
NA,"Colombia-Bolivar","province",1,517,0,"cases"
NA,"Colombia-Cartagena","province",0,389,0,"cases"
NA,"Colombia-Cesar","province",12,3626,0,"cases"
NA,"Colombia-Cordoba","province",5,12439,0,"cases"
NA,"Colombia-Guajira","province",10,4462,0,"cases"
NA,"Colombia-Magdalena","province",2,2061,0,"cases"
NA,"Colombia-San_Andres","province",1,910,3,"cases"
NA,"Colombia-Santa_Marta","province",4,1580,0,"cases"
NA,"Colombia-Sucre","province",5,6674,0,"cases"
