"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",8,2403,0,"cases"
NA,"Colombia-Tolima","province",12,1292,19,"cases"
NA,"Colombia-Santander","province",2,1199,13,"cases"
NA,"Colombia-Cundinamarca","province",13,1010,24,"cases"
NA,"Colombia-Meta","province",2,777,0,"cases"
NA,"Colombia-Huila","province",4,772,0,"cases"
NA,"Colombia-Risaralda","province",0,669,0,"cases"
NA,"Colombia-Antioquia","province",7,545,9,"cases"
NA,"Colombia-Caqueta","province",1,403,4,"cases"
NA,"Colombia-Putumayo","province",2,400,0,"cases"
NA,"Colombia-Barranquilla","province",0,396,0,"cases"
NA,"Colombia-Quindio","province",1,312,0,"cases"
NA,"Colombia-Cauca","province",2,228,2,"cases"
NA,"Colombia-Cordoba","province",2,213,0,"cases"
NA,"Colombia-Boyaca","province",0,137,14,"cases"
NA,"Colombia-Norte_Santander","province",1,125,7,"cases"
NA,"Colombia-Arauca","province",1,127,0,"cases"
NA,"Colombia-Cesar","province",1,115,0,"cases"
NA,"Colombia-Sucre","province",0,111,0,"cases"
NA,"Colombia-Casanare","province",0,99,0,"cases"
NA,"Colombia-Caldas","province",1,88,3,"cases"
NA,"Colombia-Atlantico","province",0,82,0,"cases"
NA,"Colombia-Guaviare","province",0,55,1,"cases"
NA,"Colombia-Narino","province",1,26,22,"cases"
NA,"Colombia-Santa_Marta","province",3,32,0,"cases"
NA,"Colombia-Bolivar","province",0,28,0,"cases"
NA,"Colombia-Guainia","province",1,22,0,"cases"
NA,"Colombia-Buenaventura","province",0,20,0,"cases"
NA,"Colombia-Cartagena","province",0,16,0,"cases"
NA,"Colombia-Vichada","province",1,15,0,"cases"
NA,"Colombia-Amazonas","province",0,12,2,"cases"
NA,"Colombia-Magdalena","province",0,14,0,"cases"
NA,"Colombia-Exterior","province",1,0,12,"cases"
NA,"Colombia-Choco","province",2,8,2,"cases"
NA,NA,"province",1,0,11,"cases"
NA,"Colombia-Guajira","province",0,9,0,"cases"
NA,"Colombia-Vaupes","province",0,8,0,"cases"
NA,"Colombia-San_Andres","province",0,5,2,"cases"
