"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Amazonas","province",5,9,4,"cases"
NA,"Colombia-Caqueta","province",37,6681,17,"cases"
NA,"Colombia-Guainia","province",23,53,1,"cases"
NA,"Colombia-Guaviare","province",30,1859,0,"cases"
NA,"Colombia-Vaupes","province",3,2,1,"cases"
NA,"Colombia-Putumayo","province",16,722,0,"cases"
NA,"Colombia-Antioquia","province",34,14564,135,"cases"
NA,"Colombia-Bogota","province",1,0,0,"cases"
NA,"Colombia-Caldas","province",34,2949,17,"cases"
NA,"Colombia-Cundinamarca","province",225,17298,22,"cases"
NA,"Colombia-Huila","province",189,28469,0,"cases"
NA,"Colombia-Quindio","province",0,5650,0,"cases"
NA,"Colombia-Risaralda","province",48,4727,0,"cases"
NA,"Colombia-Tolima","province",257,40652,27,"cases"
NA,"Colombia-Boyaca","province",64,718,25,"cases"
NA,"Colombia-Norte_Santander","province",53,6107,5,"cases"
NA,"Colombia-Santander","province",25,11338,82,"cases"
NA,"Colombia-Arauca","province",49,5424,0,"cases"
NA,"Colombia-Casanare","province",112,15512,0,"cases"
NA,"Colombia-Meta","province",88,20790,78,"cases"
NA,"Colombia-Vichada","province",25,268,0,"cases"
NA,"Colombia-Cauca","province",42,3721,5,"cases"
NA,"Colombia-Choco","province",19,959,53,"cases"
NA,"Colombia-Narino","province",38,1780,34,"cases"
NA,"Colombia-Valle","province",830,118682,0,"cases"
NA,"Colombia-Atlantico","province",1,1786,0,"cases"
NA,"Colombia-Barranquilla","province",0,5732,0,"cases"
NA,"Colombia-Bolivar","province",5,592,0,"cases"
NA,"Colombia-Cartagena","province",0,489,0,"cases"
NA,"Colombia-Cesar","province",13,3758,0,"cases"
NA,"Colombia-Cordoba","province",7,12562,0,"cases"
NA,"Colombia-Guajira","province",10,4469,0,"cases"
NA,"Colombia-Magdalena","province",2,2475,0,"cases"
NA,"Colombia-San_Andres","province",1,1225,1,"cases"
NA,"Colombia-Santa_Marta","province",5,1611,0,"cases"
NA,"Colombia-Sucre","province",6,6886,0,"cases"
