"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Amazonas","province",2,7,4,"cases"
NA,"Colombia-Caqueta","province",18,4522,451,"cases"
NA,"Colombia-Guainia","province",5,22,1,"cases"
NA,"Colombia-Guaviare","province",2,703,3,"cases"
NA,"Colombia-Vaupes","province",0,0,1,"cases"
NA,"Colombia-Putumayo","province",3,244,4,"cases"
NA,"Colombia-Antioquia","province",32,11415,105,"cases"
NA,"Colombia-Bogota","province",1,0,191,"cases"
NA,"Colombia-Caldas","province",8,2495,38,"cases"
NA,"Colombia-Cundinamarca","province",81,14591,140,"cases"
NA,"Colombia-Huila","province",76,25750,115,"cases"
NA,"Colombia-Quindio","province",0,1208,2,"cases"
NA,"Colombia-Risaralda","province",5,1141,1,"cases"
NA,"Colombia-Tolima","province",105,33087,857,"cases"
NA,"Colombia-Boyaca","province",17,520,39,"cases"
NA,"Colombia-Norte_Santander","province",24,5758,63,"cases"
NA,"Colombia-Santander","province",7,5568,56,"cases"
NA,"Colombia-Arauca","province",1,3923,4,"cases"
NA,"Colombia-Casanare","province",17,10566,37,"cases"
NA,"Colombia-Meta","province",30,12011,338,"cases"
NA,"Colombia-Vichada","province",0,0,117,"cases"
NA,"Colombia-Cauca","province",6,2442,191,"cases"
NA,"Colombia-Choco","province",8,353,213,"cases"
NA,"Colombia-Narino","province",13,999,44,"cases"
NA,"Colombia-Valle","province",44,80615,32,"cases"
NA,"Colombia-Atlantico","province",0,1591,14,"cases"
NA,"Colombia-Barranquilla","province",0,4375,0,"cases"
NA,"Colombia-Bolivar","province",1,458,0,"cases"
NA,"Colombia-Cartagena","province",0,369,0,"cases"
NA,"Colombia-Cesar","province",9,3027,11,"cases"
NA,"Colombia-Cordoba","province",3,12141,11,"cases"
NA,"Colombia-Guajira","province",7,4427,19,"cases"
NA,"Colombia-Magdalena","province",1,1747,8,"cases"
NA,"Colombia-San_Andres","province",0,552,3,"cases"
NA,"Colombia-Santa_Marta","province",4,1549,0,"cases"
NA,"Colombia-Sucre","province",2,6490,0,"cases"
