"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Amazonas","province",1,0,17,"cases"
NA,"Colombia-Caqueta","province",1,23,84,"cases"
NA,"Colombia-Guainia","province",0,0,7,"cases"
NA,"Colombia-Guaviare","province",0,0,4,"cases"
NA,"Colombia-Vaupes","province",0,0,0,"cases"
NA,"Colombia-Putumayo","province",24,81,2,"cases"
NA,"Colombia-Antioquia","province",47,4504,80,"cases"
NA,"Colombia-Bogota","province",1,0,366,"cases"
NA,"Colombia-Caldas","province",14,1760,21,"cases"
NA,"Colombia-Cundinamarca","province",53,8934,186,"cases"
NA,"Colombia-Huila","province",37,15930,129,"cases"
NA,"Colombia-Quindio","province",1,77,1,"cases"
NA,"Colombia-Risaralda","province",4,31,0,"cases"
NA,"Colombia-Tolima","province",36,11070,1186,"cases"
NA,"Colombia-Boyaca","province",8,19,49,"cases"
NA,"Colombia-Norte_Santander","province",344,28549,197,"cases"
NA,"Colombia-Santander","province",12,1310,78,"cases"
NA,"Colombia-Arauca","province",3,126,707,"cases"
NA,"Colombia-Casanare","province",2,250,9,"cases"
NA,"Colombia-Meta","province",4,260,58,"cases"
NA,"Colombia-Vichada","province",0,0,8,"cases"
NA,"Colombia-Cauca","province",6,25,97,"cases"
NA,"Colombia-Choco","province",2,1,8,"cases"
NA,"Colombia-Narino","province",3,13,15,"cases"
NA,"Colombia-Valle","province",24,3986,4,"cases"
NA,"Colombia-Atlantico","province",32,3174,34,"cases"
NA,"Colombia-Barranquilla","province",16,6411,0,"cases"
NA,"Colombia-Bolivar","province",302,18125,0,"cases"
NA,"Colombia-Cartagena","province",28,12463,0,"cases"
NA,"Colombia-Cesar","province",35,1742,16,"cases"
NA,"Colombia-Cordoba","province",91,13317,10,"cases"
NA,"Colombia-Guajira","province",46,10222,26,"cases"
NA,"Colombia-Magdalena","province",30,5109,335,"cases"
NA,"Colombia-San_Andres","province",5,346,6,"cases"
NA,"Colombia-Santa_Marta","province",10,5338,0,"cases"
NA,"Colombia-Sucre","province",95,18932,2,"cases"
