"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",1,186,0,"cases"
NA,"Colombia-Santander","province",1,92,5,"cases"
NA,"Colombia-Tolima","province",2,91,2,"cases"
NA,"Colombia-Cundinamarca","province",2,72,8,"cases"
NA,"Colombia-Antioquia","province",5,68,3,"cases"
NA,"Colombia-Putumayo","province",3,69,0,"cases"
NA,"Colombia-Huila","province",1,64,0,"cases"
NA,"Colombia-Meta","province",1,60,0,"cases"
NA,"Colombia-Risaralda","province",0,59,0,"cases"
NA,"Colombia-Guaviare","province",4,27,0,"cases"
NA,"Colombia-Casanare","province",2,28,0,"cases"
NA,"Colombia-Norte_Santander","province",0,20,0,"cases"
NA,"Colombia-Caqueta","province",2,15,1,"cases"
NA,"Colombia-Caldas","province",0,17,0,"cases"
NA,"Colombia-Atlantico","province",1,12,0,"cases"
NA,"Colombia-Arauca","province",0,12,0,"cases"
NA,"Colombia-Cesar","province",0,11,0,"cases"
NA,"Colombia-Sucre","province",1,10,0,"cases"
NA,"Colombia-Barranquilla","province",1,9,0,"cases"
NA,"Colombia-Boyaca","province",0,4,6,"cases"
NA,"Colombia-Santa_Marta","province",0,10,0,"cases"
NA,"Colombia-Cartagena","province",0,11,0,"cases"
NA,"Colombia-Narino","province",0,8,0,"cases"
NA,"Colombia-Cordoba","province",0,8,0,"cases"
NA,"Colombia-Amazonas","province",0,5,1,"cases"
NA,"Colombia-Cauca","province",0,7,0,"cases"
NA,"Colombia-Bolivar","province",0,6,0,"cases"
NA,"Colombia-Magdalena","province",0,5,0,"cases"
NA,"Colombia-San_Andres","province",0,3,0,"cases"
NA,"Colombia-Buenaventura","province",0,3,0,"cases"
NA,"Colombia-Vaupes","province",0,1,1,"cases"
NA,"Colombia-Guajira","province",0,2,0,"cases"
NA,"Colombia-Choco","province",0,0,1,"cases"
NA,"Colombia-Vichada","province",0,1,0,"cases"
NA,"Colombia-Exterior","province",1,0,13,"cases"
