"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Amazonas","province",2,7,4,"cases"
NA,"Colombia-Caqueta","province",18,4125,396,"cases"
NA,"Colombia-Guainia","province",2,19,0,"cases"
NA,"Colombia-Guaviare","province",2,540,1,"cases"
NA,"Colombia-Vaupes","province",0,0,1,"cases"
NA,"Colombia-Putumayo","province",3,160,4,"cases"
NA,"Colombia-Antioquia","province",31,10872,88,"cases"
NA,"Colombia-Bogota","province",1,0,194,"cases"
NA,"Colombia-Caldas","province",8,2455,31,"cases"
NA,"Colombia-Cundinamarca","province",76,14081,136,"cases"
NA,"Colombia-Huila","province",75,25064,103,"cases"
NA,"Colombia-Quindio","province",0,833,2,"cases"
NA,"Colombia-Risaralda","province",5,683,1,"cases"
NA,"Colombia-Tolima","province",95,31932,775,"cases"
NA,"Colombia-Boyaca","province",17,502,37,"cases"
NA,"Colombia-Norte_Santander","province",24,5711,62,"cases"
NA,"Colombia-Santander","province",7,4771,53,"cases"
NA,"Colombia-Arauca","province",1,3527,3,"cases"
NA,"Colombia-Casanare","province",16,9084,33,"cases"
NA,"Colombia-Meta","province",28,10868,308,"cases"
NA,"Colombia-Vichada","province",0,0,81,"cases"
NA,"Colombia-Cauca","province",3,2196,182,"cases"
NA,"Colombia-Choco","province",8,329,174,"cases"
NA,"Colombia-Narino","province",13,955,41,"cases"
NA,"Colombia-Valle","province",42,68508,31,"cases"
NA,"Colombia-Atlantico","province",0,1605,14,"cases"
NA,"Colombia-Barranquilla","province",0,4265,0,"cases"
NA,"Colombia-Bolivar","province",1,452,0,"cases"
NA,"Colombia-Cartagena","province",0,365,0,"cases"
NA,"Colombia-Cesar","province",9,2982,11,"cases"
NA,"Colombia-Cordoba","province",3,11894,11,"cases"
NA,"Colombia-Guajira","province",7,4421,19,"cases"
NA,"Colombia-Magdalena","province",1,1739,8,"cases"
NA,"Colombia-San_Andres","province",0,536,3,"cases"
NA,"Colombia-Santa_Marta","province",4,1545,0,"cases"
NA,"Colombia-Sucre","province",2,6428,0,"cases"
