"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","probable_value","severe_value","death_value","unit"
,"Brazil-Rondonia","state","dengue_reported","NA","NA","NA",8235,28,4,"cases"
,"Brazil-Acre","state","dengue_reported","NA","NA","NA",2225,2,0,"cases"
,"Brazil-Amazonas","state","dengue_reported","NA","NA","NA",14153,88,9,"cases"
,"Brazil-Roraima","state","dengue_reported","NA","NA","NA",304,0,0,"cases"
,"Brazil-Para","state","dengue_reported","NA","NA","NA",7837,33,10,"cases"
,"Brazil-Amapa","state","dengue_reported","NA","NA","NA",1430,6,1,"cases"
,"Brazil-Tocantins","state","dengue_reported","NA","NA","NA",6824,19,3,"cases"
,"Brazil-Maranhao","state","dengue_reported","NA","NA","NA",2370,27,10,"cases"
,"Brazil-Piaui","state","dengue_reported","NA","NA","NA",2786,12,1,"cases"
,"Brazil-Ceara","state","dengue_reported","NA","NA","NA",13624,61,24,"cases"
,"Brazil-Rio_Grande_do_Norte","state","dengue_reported","NA","NA","NA",8903,54,6,"cases"
,"Brazil-Paraiba","state","dengue_reported","NA","NA","NA",6189,44,7,"cases"
,"Brazil-Pernambuco","state","dengue_reported","NA","NA","NA",4419,26,9,"cases"
,"Brazil-Alagoas","state","dengue_reported","NA","NA","NA",3748,12,0,"cases"
,"Brazil-Sergipe","state","dengue_reported","NA","NA","NA",281,1,0,"cases"
,"Brazil-Bahia","state","dengue_reported","NA","NA","NA",52868,96,12,"cases"
,"Brazil-Minas_Gerais","state","dengue_reported","NA","NA","NA",398053,353,91,"cases"
,"Brazil-Espirito_Santo","state","dengue_reported","NA","NA","NA",55618,1216,22,"cases"
,"Brazil-Rio_de_Janeiro","state","dengue_reported","NA","NA","NA",198913,1154,50,"cases"
,"Brazil-Sao_Paulo","state","dengue_reported","NA","NA","NA",204941,397,66,"cases"
,"Brazil-Parana","state","dengue_reported","NA","NA","NA",63224,221,26,"cases"
,"Brazil-Santa_Catarina","state","dengue_reported","NA","NA","NA",329,1,0,"cases"
,"Brazil-Rio_Grande_do_Sul","state","dengue_reported","NA","NA","NA",409,1,0,"cases"
,"Brazil-Mato_Grosso_do_Sul","state","dengue_reported","NA","NA","NA",75850,741,33,"cases"
,"Brazil-Mato_Grosso","state","dengue_reported","NA","NA","NA",30720,91,23,"cases"
,"Brazil-Goias","state","dengue_reported","NA","NA","NA",120187,1072,61,"cases"
,"Brazil-Distrito_Federal","state","dengue_reported","NA","NA","NA",8202,12,4,"cases"
