report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,7015,6,14,3,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,2007,0,0,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,7083,2,9,1,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,192,0,3,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,10010,2,37,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,1730,2,16,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,7340,0,15,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,23252,10,32,10,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,5036,5,7,1,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,46662,44,181,30,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,56083,13,46,23,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,35150,6,52,8,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,58264,7,63,24,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,17678,8,14,8,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,3237,1,1,1,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,64208,5,14,7,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,520018,271,1895,260,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,40036,46,369,20,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,83525,25,395,17,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,196128,116,1163,113,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,61257,118,526,63,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,4973,2,62,2,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,3072,7,34,1,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,45035,16,283,17,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,18844,7,16,5,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,122565,137,3096,52,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,17445,39,452,22,cases
