report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,7331,6,15,3,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,2084,0,0,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,7320,2,9,1,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,201,0,3,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,10321,2,40,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,1774,2,19,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,7525,0,15,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,23431,13,34,11,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,5117,5,7,1,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,48624,46,192,33,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,56336,13,48,23,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,35234,7,52,9,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,59195,7,63,24,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,17856,8,14,8,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,3306,1,1,1,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,65125,5,15,7,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,521429,271,1906,261,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,40769,46,379,20,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,84315,27,413,17,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,197426,116,1173,113,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,61655,118,527,63,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,5006,2,62,2,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,3099,7,34,1,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,45165,16,284,17,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,19387,7,17,5,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,125702,142,3227,53,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,17558,40,453,23,cases
