"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","probable_value","severe_value","death_value","unit"
,"Brazil-Rondonia","state","dengue_reported","NA","NA","NA",7868,34,5,"cases"
,"Brazil-Acre","state","dengue_reported","NA","NA","NA",2345,3,0,"cases"
,"Brazil-Amazonas","state","dengue_reported","NA","NA","NA",16567,94,10,"cases"
,"Brazil-Roraima","state","dengue_reported","NA","NA","NA",644,0,0,"cases"
,"Brazil-Para","state","dengue_reported","NA","NA","NA",8421,37,9,"cases"
,"Brazil-Amapa","state","dengue_reported","NA","NA","NA",1607,8,1,"cases"
,"Brazil-Tocantins","state","dengue_reported","NA","NA","NA",7816,22,3,"cases"
,"Brazil-Maranhao","state","dengue_reported","NA","NA","NA",3223,38,13,"cases"
,"Brazil-Piaui","state","dengue_reported","NA","NA","NA",4543,16,1,"cases"
,"Brazil-Ceara","state","dengue_reported","NA","NA","NA",27156,168,51,"cases"
,"Brazil-Rio_Grande_do_Norte","state","dengue_reported","NA","NA","NA",16116,112,15,"cases"
,"Brazil-Paraiba","state","dengue_reported","NA","NA","NA",11802,98,13,"cases"
,"Brazil-Pernambuco","state","dengue_reported","NA","NA","NA",6707,64,34,"cases"
,"Brazil-Alagoas","state","dengue_reported","NA","NA","NA",8305,22,1,"cases"
,"Brazil-Sergipe","state","dengue_reported","NA","NA","NA",564,4,2,"cases"
,"Brazil-Bahia","state","dengue_reported","NA","NA","NA",58652,132,14,"cases"
,"Brazil-Minas_Gerais","state","dengue_reported","NA","NA","NA",412608,402,102,"cases"
,"Brazil-Espirito_Santo","state","dengue_reported","NA","NA","NA",65166,1348,27,"cases"
,"Brazil-Rio_de_Janeiro","state","dengue_reported","NA","NA","NA",210362,1231,56,"cases"
,"Brazil-Sao_Paulo","state","dengue_reported","NA","NA","NA",218524,440,75,"cases"
,"Brazil-Parana","state","dengue_reported","NA","NA","NA",65133,231,26,"cases"
,"Brazil-Santa_Catarina","state","dengue_reported","NA","NA","NA",347,1,0,"cases"
,"Brazil-Rio_Grande_do_Sul","state","dengue_reported","NA","NA","NA",440,1,0,"cases"
,"Brazil-Mato_Grosso_do_Sul","state","dengue_reported","NA","NA","NA",78142,759,36,"cases"
,"Brazil-Mato_Grosso","state","dengue_reported","NA","NA","NA",33004,96,26,"cases"
,"Brazil-Goias","state","dengue_reported","NA","NA","NA",131734,1175,77,"cases"
,"Brazil-Distrito_Federal","state","dengue_reported","NA","NA","NA",11416,16,6,"cases"
