"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","probable_value","severe_value","deathsevere_value","unit"
,"Brazil-Rondonia","state","dengue_reported","NA","NA","NA",7552,26,4,"cases"
,"Brazil-Acre","state","dengue_reported","NA","NA","NA",2055,2,0,"cases"
,"Brazil-Amazonas","state","dengue_reported","NA","NA","NA",12053,80,8,"cases"
,"Brazil-Roraima","state","dengue_reported","NA","NA","NA",182,0,0,"cases"
,"Brazil-Para","state","dengue_reported","NA","NA","NA",6597,31,9,"cases"
,"Brazil-Amapa","state","dengue_reported","NA","NA","NA",1146,6,1,"cases"
,"Brazil-Tocantins","state","dengue_reported","NA","NA","NA",5489,17,2,"cases"
,"Brazil-Maranhao","state","dengue_reported","NA","NA","NA",1678,20,9,"cases"
,"Brazil-Piaui","state","dengue_reported","NA","NA","NA",1924,7,0,"cases"
,"Brazil-Ceara","state","dengue_reported","NA","NA","NA",7664,38,18,"cases"
,"Brazil-Rio_Grande_do_Norte","state","dengue_reported","NA","NA","NA",5701,41,5,"cases"
,"Brazil-Paraiba","state","dengue_reported","NA","NA","NA",3625,29,6,"cases"
,"Brazil-Pernambuco","state","dengue_reported","NA","NA","NA",2305,16,4,"cases"
,"Brazil-Alagoas","state","dengue_reported","NA","NA","NA",1825,8,0,"cases"
,"Brazil-Sergipe","state","dengue_reported","NA","NA","NA",156,1,0,"cases"
,"Brazil-Bahia","state","dengue_reported","NA","NA","NA",42428,80,9,"cases"
,"Brazil-Minas_Gerais","state","dengue_reported","NA","NA","NA",317868,302,81,"cases"
,"Brazil-Espirito_Santo","state","dengue_reported","NA","NA","NA",41524,1049,21,"cases"
,"Brazil-Rio_de_Janeiro","state","dengue_reported","NA","NA","NA",158882,950,40,"cases"
,"Brazil-Sao_Paulo","state","dengue_reported","NA","NA","NA",153731,327,52,"cases"
,"Brazil-Parana","state","dengue_reported","NA","NA","NA",49991,197,24,"cases"
,"Brazil-Santa_Catarina","state","dengue_reported","NA","NA","NA",261,1,0,"cases"
,"Brazil-Rio_Grande_do_Sul","state","dengue_reported","NA","NA","NA",326,1,0,"cases"
,"Brazil-Mato_Grosso_do_Sul","state","dengue_reported","NA","NA","NA",69349,704,31,"cases"
,"Brazil-Mato_Grosso","state","dengue_reported","NA","NA","NA",26891,83,20,"cases"
,"Brazil-Goias","state","dengue_reported","NA","NA","NA",97431,997,55,"cases"
,"Brazil-Distrito_Federal","state","dengue_reported","NA","NA","NA",4573,7,3,"cases"
