"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","probable_value","severe_value","death_value","unit"
,"Brazil-Rondonia","state","dengue_reported","NA","NA","NA",7924,34,5,"cases"
,"Brazil-Acre","state","dengue_reported","NA","NA","NA",2363,3,0,"cases"
,"Brazil-Amazonas","state","dengue_reported","NA","NA","NA",16773,94,10,"cases"
,"Brazil-Roraima","state","dengue_reported","NA","NA","NA",726,0,0,"cases"
,"Brazil-Para","state","dengue_reported","NA","NA","NA",8492,38,9,"cases"
,"Brazil-Amapa","state","dengue_reported","NA","NA","NA",1629,8,2,"cases"
,"Brazil-Tocantins","state","dengue_reported","NA","NA","NA",7884,25,5,"cases"
,"Brazil-Maranhao","state","dengue_reported","NA","NA","NA",3353,39,16,"cases"
,"Brazil-Piaui","state","dengue_reported","NA","NA","NA",4679,16,1,"cases"
,"Brazil-Ceara","state","dengue_reported","NA","NA","NA",28156,174,62,"cases"
,"Brazil-Rio_Grande_do_Norte","state","dengue_reported","NA","NA","NA",16862,116,16,"cases"
,"Brazil-Paraiba","state","dengue_reported","NA","NA","NA",12329,103,14,"cases"
,"Brazil-Pernambuco","state","dengue_reported","NA","NA","NA",6971,66,35,"cases"
,"Brazil-Alagoas","state","dengue_reported","NA","NA","NA",8918,23,2,"cases"
,"Brazil-Sergipe","state","dengue_reported","NA","NA","NA",597,5,2,"cases"
,"Brazil-Bahia","state","dengue_reported","NA","NA","NA",59178,135,16,"cases"
,"Brazil-Minas_Gerais","state","dengue_reported","NA","NA","NA",413016,404,104,"cases"
,"Brazil-Espirito_Santo","state","dengue_reported","NA","NA","NA",65813,1358,29,"cases"
,"Brazil-Rio_de_Janeiro","state","dengue_reported","NA","NA","NA",210728,1234,56,"cases"
,"Brazil-Sao_Paulo","state","dengue_reported","NA","NA","NA",218859,442,76,"cases"
,"Brazil-Parana","state","dengue_reported","NA","NA","NA",65195,231,26,"cases"
,"Brazil-Santa_Catarina","state","dengue_reported","NA","NA","NA",348,1,0,"cases"
,"Brazil-Rio_Grande_do_Sul","state","dengue_reported","NA","NA","NA",440,1,0,"cases"
,"Brazil-Mato_Grosso_do_Sul","state","dengue_reported","NA","NA","NA",78240,763,36,"cases"
,"Brazil-Mato_Grosso","state","dengue_reported","NA","NA","NA",33247,96,26,"cases"
,"Brazil-Goias","state","dengue_reported","NA","NA","NA",132605,1183,82,"cases"
,"Brazil-Distrito_Federal","state","dengue_reported","NA","NA","NA",11528,16,6,"cases"
