"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","probable_value","severe_value","death_value","unit"
,"Brazil-Rondonia","state","dengue_reported","NA","NA","NA",8244,36,5,"cases"
,"Brazil-Acre","state","dengue_reported","NA","NA","NA",2443,3,0,"cases"
,"Brazil-Amazonas","state","dengue_reported","NA","NA","NA",17280,94,10,"cases"
,"Brazil-Roraima","state","dengue_reported","NA","NA","NA",867,2,0,"cases"
,"Brazil-Para","state","dengue_reported","NA","NA","NA",8794,43,10,"cases"
,"Brazil-Amapa","state","dengue_reported","NA","NA","NA",1695,9,3,"cases"
,"Brazil-Tocantins","state","dengue_reported","NA","NA","NA",8172,26,5,"cases"
,"Brazil-Maranhao","state","dengue_reported","NA","NA","NA",3495,41,17,"cases"
,"Brazil-Piaui","state","dengue_reported","NA","NA","NA",4867,16,1,"cases"
,"Brazil-Ceara","state","dengue_reported","NA","NA","NA",29392,188,67,"cases"
,"Brazil-Rio_Grande_do_Norte","state","dengue_reported","NA","NA","NA",18107,120,16,"cases"
,"Brazil-Paraiba","state","dengue_reported","NA","NA","NA",13121,113,15,"cases"
,"Brazil-Pernambuco","state","dengue_reported","NA","NA","NA",7653,74,36,"cases"
,"Brazil-Alagoas","state","dengue_reported","NA","NA","NA",10357,25,2,"cases"
,"Brazil-Sergipe","state","dengue_reported","NA","NA","NA",708,5,2,"cases"
,"Brazil-Bahia","state","dengue_reported","NA","NA","NA",60275,142,17,"cases"
,"Brazil-Minas_Gerais","state","dengue_reported","NA","NA","NA",414461,407,104,"cases"
,"Brazil-Espirito_Santo","state","dengue_reported","NA","NA","NA",66988,1394,29,"cases"
,"Brazil-Rio_de_Janeiro","state","dengue_reported","NA","NA","NA",211852,1241,58,"cases"
,"Brazil-Sao_Paulo","state","dengue_reported","NA","NA","NA",219878,450,76,"cases"
,"Brazil-Parana","state","dengue_reported","NA","NA","NA",65507,232,26,"cases"
,"Brazil-Santa_Catarina","state","dengue_reported","NA","NA","NA",353,1,0,"cases"
,"Brazil-Rio_Grande_do_Sul","state","dengue_reported","NA","NA","NA",443,2,1,"cases"
,"Brazil-Mato_Grosso_do_Sul","state","dengue_reported","NA","NA","NA",78563,766,36,"cases"
,"Brazil-Mato_Grosso","state","dengue_reported","NA","NA","NA",34176,96,26,"cases"
,"Brazil-Goias","state","dengue_reported","NA","NA","NA",135555,1211,84,"cases"
,"Brazil-Distrito_Federal","state","dengue_reported","NA","NA","NA",11736,16,6,"cases"
