report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,1098,3,0,0,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,505,0,0,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,1105,1,4,0,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,23,0,0,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,3665,0,3,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,324,1,2,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,1291,0,0,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,2161,3,8,2,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,360,1,1,0,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,5968,3,16,3,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,1003,0,3,0,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,414,0,1,0,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,941,1,8,1,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,294,1,1,1,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,117,0,1,0,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,3422,0,10,0,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,9001,9,37,6,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,1841,5,33,3,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,2986,1,17,1,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,2023,6,25,4,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,690,0,1,0,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,49,0,0,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,66,0,0,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,511,1,4,0,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,2576,2,3,2,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,11637,23,487,8,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,453,0,8,0,cases
