"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","probable_value","severe_value","death_value","unit"
,"Brazil-Rondonia","state","dengue_reported","NA","NA","NA",7942,34,5,"cases"
,"Brazil-Acre","state","dengue_reported","NA","NA","NA",2365,3,0,"cases"
,"Brazil-Amazonas","state","dengue_reported","NA","NA","NA",16827,94,10,"cases"
,"Brazil-Roraima","state","dengue_reported","NA","NA","NA",752,0,0,"cases"
,"Brazil-Para","state","dengue_reported","NA","NA","NA",8518,38,9,"cases"
,"Brazil-Amapa","state","dengue_reported","NA","NA","NA",1638,8,2,"cases"
,"Brazil-Tocantins","state","dengue_reported","NA","NA","NA",7918,25,5,"cases"
,"Brazil-Maranhao","state","dengue_reported","NA","NA","NA",3369,39,16,"cases"
,"Brazil-Piaui","state","dengue_reported","NA","NA","NA",4708,16,1,"cases"
,"Brazil-Ceara","state","dengue_reported","NA","NA","NA",28360,174,62,"cases"
,"Brazil-Rio_Grande_do_Norte","state","dengue_reported","NA","NA","NA",17036,116,16,"cases"
,"Brazil-Paraiba","state","dengue_reported","NA","NA","NA",12449,103,14,"cases"
,"Brazil-Pernambuco","state","dengue_reported","NA","NA","NA",7067,66,35,"cases"
,"Brazil-Alagoas","state","dengue_reported","NA","NA","NA",9141,23,2,"cases"
,"Brazil-Sergipe","state","dengue_reported","NA","NA","NA",603,5,2,"cases"
,"Brazil-Bahia","state","dengue_reported","NA","NA","NA",59341,135,16,"cases"
,"Brazil-Minas_Gerais","state","dengue_reported","NA","NA","NA",413177,404,104,"cases"
,"Brazil-Espirito_Santo","state","dengue_reported","NA","NA","NA",65987,1358,29,"cases"
,"Brazil-Rio_de_Janeiro","state","dengue_reported","NA","NA","NA",210869,1234,56,"cases"
,"Brazil-Sao_Paulo","state","dengue_reported","NA","NA","NA",218968,442,76,"cases"
,"Brazil-Parana","state","dengue_reported","NA","NA","NA",65218,231,26,"cases"
,"Brazil-Santa_Catarina","state","dengue_reported","NA","NA","NA",348,1,0,"cases"
,"Brazil-Rio_Grande_do_Sul","state","dengue_reported","NA","NA","NA",440,1,0,"cases"
,"Brazil-Mato_Grosso_do_Sul","state","dengue_reported","NA","NA","NA",78272,763,36,"cases"
,"Brazil-Mato_Grosso","state","dengue_reported","NA","NA","NA",33336,96,26,"cases"
,"Brazil-Goias","state","dengue_reported","NA","NA","NA",132843,1183,82,"cases"
,"Brazil-Distrito_Federal","state","dengue_reported","NA","NA","NA",11556,16,6,"cases"
