"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","probable_value","severe_value","death_value","unit"
,"Brazil-Rondonia","state","dengue_reported","NA","NA","NA",8546,28,4,"cases"
,"Brazil-Acre","state","dengue_reported","NA","NA","NA",2369,2,0,"cases"
,"Brazil-Amazonas","state","dengue_reported","NA","NA","NA",15624,90,9,"cases"
,"Brazil-Roraima","state","dengue_reported","NA","NA","NA",463,0,0,"cases"
,"Brazil-Para","state","dengue_reported","NA","NA","NA",8253,34,10,"cases"
,"Brazil-Amapa","state","dengue_reported","NA","NA","NA",1507,6,1,"cases"
,"Brazil-Tocantins","state","dengue_reported","NA","NA","NA",7563,19,3,"cases"
,"Brazil-Maranhao","state","dengue_reported","NA","NA","NA",2886,33,13,"cases"
,"Brazil-Piaui","state","dengue_reported","NA","NA","NA",3796,14,1,"cases"
,"Brazil-Ceara","state","dengue_reported","NA","NA","NA",20115,102,36,"cases"
,"Brazil-Rio_Grande_do_Norte","state","dengue_reported","NA","NA","NA",12159,74,11,"cases"
,"Brazil-Paraiba","state","dengue_reported","NA","NA","NA",8916,69,10,"cases"
,"Brazil-Pernambuco","state","dengue_reported","NA","NA","NA",6192,41,16,"cases"
,"Brazil-Alagoas","state","dengue_reported","NA","NA","NA",6413,14,0,"cases"
,"Brazil-Sergipe","state","dengue_reported","NA","NA","NA",461,2,1,"cases"
,"Brazil-Bahia","state","dengue_reported","NA","NA","NA",57325,106,13,"cases"
,"Brazil-Minas_Gerais","state","dengue_reported","NA","NA","NA",414076,372,97,"cases"
,"Brazil-Espirito_Santo","state","dengue_reported","NA","NA","NA",62186,1280,23,"cases"
,"Brazil-Rio_de_Janeiro","state","dengue_reported","NA","NA","NA",208298,1207,53,"cases"
,"Brazil-Sao_Paulo","state","dengue_reported","NA","NA","NA",216921,418,70,"cases"
,"Brazil-Parana","state","dengue_reported","NA","NA","NA",66053,228,26,"cases"
,"Brazil-Santa_Catarina","state","dengue_reported","NA","NA","NA",351,1,0,"cases"
,"Brazil-Rio_Grande_do_Sul","state","dengue_reported","NA","NA","NA",426,1,0,"cases"
,"Brazil-Mato_Grosso_do_Sul","state","dengue_reported","NA","NA","NA",77557,751,34,"cases"
,"Brazil-Mato_Grosso","state","dengue_reported","NA","NA","NA",32412,96,25,"cases"
,"Brazil-Goias","state","dengue_reported","NA","NA","NA",130358,1100,65,"cases"
,"Brazil-Distrito_Federal","state","dengue_reported","NA","NA","NA",10565,16,6,"cases"
