report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,7112,6,15,3,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,2050,0,0,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,7222,2,9,1,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,201,0,3,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,10207,2,39,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,1757,2,19,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,7436,0,15,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,23361,11,34,10,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,5078,5,7,1,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,47778,45,188,32,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,56220,13,47,23,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,35203,7,52,9,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,58982,7,63,24,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,17798,8,14,8,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,3286,1,1,1,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,64710,5,14,7,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,520763,271,1899,261,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,40350,46,373,20,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,83894,26,401,17,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,196909,116,1169,113,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,61479,118,527,63,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,4989,2,62,2,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,3089,7,34,1,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,45106,16,283,17,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,19115,7,16,5,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,124245,140,3181,53,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,17507,40,452,23,cases
