"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","probable_value","severe_value","death_value","unit"
,"Brazil-Rondonia","state","dengue_reported","NA","NA","NA",7843,32,5,"cases"
,"Brazil-Acre","state","dengue_reported","NA","NA","NA",2337,3,0,"cases"
,"Brazil-Amazonas","state","dengue_reported","NA","NA","NA",16446,94,10,"cases"
,"Brazil-Roraima","state","dengue_reported","NA","NA","NA",610,0,0,"cases"
,"Brazil-Para","state","dengue_reported","NA","NA","NA",8370,36,9,"cases"
,"Brazil-Amapa","state","dengue_reported","NA","NA","NA",1584,7,1,"cases"
,"Brazil-Tocantins","state","dengue_reported","NA","NA","NA",7766,22,3,"cases"
,"Brazil-Maranhao","state","dengue_reported","NA","NA","NA",3153,34,13,"cases"
,"Brazil-Piaui","state","dengue_reported","NA","NA","NA",4454,15,1,"cases"
,"Brazil-Ceara","state","dengue_reported","NA","NA","NA",26037,152,51,"cases"
,"Brazil-Rio_Grande_do_Norte","state","dengue_reported","NA","NA","NA",15426,104,15,"cases"
,"Brazil-Paraiba","state","dengue_reported","NA","NA","NA",11262,92,13,"cases"
,"Brazil-Pernambuco","state","dengue_reported","NA","NA","NA",6470,58,34,"cases"
,"Brazil-Alagoas","state","dengue_reported","NA","NA","NA",7941,20,1,"cases"
,"Brazil-Sergipe","state","dengue_reported","NA","NA","NA",549,4,2,"cases"
,"Brazil-Bahia","state","dengue_reported","NA","NA","NA",58318,126,14,"cases"
,"Brazil-Minas_Gerais","state","dengue_reported","NA","NA","NA",412312,395,102,"cases"
,"Brazil-Espirito_Santo","state","dengue_reported","NA","NA","NA",64685,1335,27,"cases"
,"Brazil-Rio_de_Janeiro","state","dengue_reported","NA","NA","NA",210082,1226,56,"cases"
,"Brazil-Sao_Paulo","state","dengue_reported","NA","NA","NA",218293,436,75,"cases"
,"Brazil-Parana","state","dengue_reported","NA","NA","NA",65091,231,26,"cases"
,"Brazil-Santa_Catarina","state","dengue_reported","NA","NA","NA",347,1,0,"cases"
,"Brazil-Rio_Grande_do_Sul","state","dengue_reported","NA","NA","NA",435,1,0,"cases"
,"Brazil-Mato_Grosso_do_Sul","state","dengue_reported","NA","NA","NA",78080,759,36,"cases"
,"Brazil-Mato_Grosso","state","dengue_reported","NA","NA","NA",32865,96,26,"cases"
,"Brazil-Goias","state","dengue_reported","NA","NA","NA",131128,1172,77,"cases"
,"Brazil-Distrito_Federal","state","dengue_reported","NA","NA","NA",11346,16,6,"cases"
