"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","probable_value","severe_value","death_value","unit"
,"Brazil-Rondonia","state","dengue_reported","NA","NA","NA",8098,35,5,"cases"
,"Brazil-Acre","state","dengue_reported","NA","NA","NA",2401,3,0,"cases"
,"Brazil-Amazonas","state","dengue_reported","NA","NA","NA",17171,94,10,"cases"
,"Brazil-Roraima","state","dengue_reported","NA","NA","NA",844,1,0,"cases"
,"Brazil-Para","state","dengue_reported","NA","NA","NA",8688,43,10,"cases"
,"Brazil-Amapa","state","dengue_reported","NA","NA","NA",1676,8,2,"cases"
,"Brazil-Tocantins","state","dengue_reported","NA","NA","NA",8062,26,5,"cases"
,"Brazil-Maranhao","state","dengue_reported","NA","NA","NA",3461,40,16,"cases"
,"Brazil-Piaui","state","dengue_reported","NA","NA","NA",4822,16,1,"cases"
,"Brazil-Ceara","state","dengue_reported","NA","NA","NA",29124,187,67,"cases"
,"Brazil-Rio_Grande_do_Norte","state","dengue_reported","NA","NA","NA",17799,120,16,"cases"
,"Brazil-Paraiba","state","dengue_reported","NA","NA","NA",12967,110,14,"cases"
,"Brazil-Pernambuco","state","dengue_reported","NA","NA","NA",7501,74,36,"cases"
,"Brazil-Alagoas","state","dengue_reported","NA","NA","NA",10002,25,2,"cases"
,"Brazil-Sergipe","state","dengue_reported","NA","NA","NA",681,5,2,"cases"
,"Brazil-Bahia","state","dengue_reported","NA","NA","NA",59992,141,17,"cases"
,"Brazil-Minas_Gerais","state","dengue_reported","NA","NA","NA",414056,406,104,"cases"
,"Brazil-Espirito_Santo","state","dengue_reported","NA","NA","NA",66717,1378,29,"cases"
,"Brazil-Rio_de_Janeiro","state","dengue_reported","NA","NA","NA",211553,1236,57,"cases"
,"Brazil-Sao_Paulo","state","dengue_reported","NA","NA","NA",219572,448,76,"cases"
,"Brazil-Parana","state","dengue_reported","NA","NA","NA",65382,232,26,"cases"
,"Brazil-Santa_Catarina","state","dengue_reported","NA","NA","NA",352,1,0,"cases"
,"Brazil-Rio_Grande_do_Sul","state","dengue_reported","NA","NA","NA",443,2,1,"cases"
,"Brazil-Mato_Grosso_do_Sul","state","dengue_reported","NA","NA","NA",78450,766,36,"cases"
,"Brazil-Mato_Grosso","state","dengue_reported","NA","NA","NA",33857,96,26,"cases"
,"Brazil-Goias","state","dengue_reported","NA","NA","NA",134637,1201,84,"cases"
,"Brazil-Distrito_Federal","state","dengue_reported","NA","NA","NA",11679,16,6,"cases"
