"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","probable_value","severe_value","death_value","unit"
,"Brazil-Rondonia","state","dengue_reported","NA","NA","NA",7765,28,4,"cases"
,"Brazil-Acre","state","dengue_reported","NA","NA","NA",2316,3,0,"cases"
,"Brazil-Amazonas","state","dengue_reported","NA","NA","NA",16040,91,9,"cases"
,"Brazil-Roraima","state","dengue_reported","NA","NA","NA",546,0,0,"cases"
,"Brazil-Para","state","dengue_reported","NA","NA","NA",8280,36,10,"cases"
,"Brazil-Amapa","state","dengue_reported","NA","NA","NA",1536,6,1,"cases"
,"Brazil-Tocantins","state","dengue_reported","NA","NA","NA",7656,19,3,"cases"
,"Brazil-Maranhao","state","dengue_reported","NA","NA","NA",2973,33,13,"cases"
,"Brazil-Piaui","state","dengue_reported","NA","NA","NA",4183,14,1,"cases"
,"Brazil-Ceara","state","dengue_reported","NA","NA","NA",22612,133,45,"cases"
,"Brazil-Rio_Grande_do_Norte","state","dengue_reported","NA","NA","NA",13537,90,13,"cases"
,"Brazil-Paraiba","state","dengue_reported","NA","NA","NA",10007,83,12,"cases"
,"Brazil-Pernambuco","state","dengue_reported","NA","NA","NA",5926,52,23,"cases"
,"Brazil-Alagoas","state","dengue_reported","NA","NA","NA",7065,17,0,"cases"
,"Brazil-Sergipe","state","dengue_reported","NA","NA","NA",506,2,1,"cases"
,"Brazil-Bahia","state","dengue_reported","NA","NA","NA",57436,113,14,"cases"
,"Brazil-Minas_Gerais","state","dengue_reported","NA","NA","NA",411576,377,97,"cases"
,"Brazil-Espirito_Santo","state","dengue_reported","NA","NA","NA",63390,1305,23,"cases"
,"Brazil-Rio_de_Janeiro","state","dengue_reported","NA","NA","NA",209293,1216,54,"cases"
,"Brazil-Sao_Paulo","state","dengue_reported","NA","NA","NA",217650,422,71,"cases"
,"Brazil-Parana","state","dengue_reported","NA","NA","NA",65004,229,26,"cases"
,"Brazil-Santa_Catarina","state","dengue_reported","NA","NA","NA",343,1,0,"cases"
,"Brazil-Rio_Grande_do_Sul","state","dengue_reported","NA","NA","NA",430,1,0,"cases"
,"Brazil-Mato_Grosso_do_Sul","state","dengue_reported","NA","NA","NA",77881,758,36,"cases"
,"Brazil-Mato_Grosso","state","dengue_reported","NA","NA","NA",32466,97,25,"cases"
,"Brazil-Goias","state","dengue_reported","NA","NA","NA",129642,1111,67,"cases"
,"Brazil-Distrito_Federal","state","dengue_reported","NA","NA","NA",11039,16,6,"cases"
