report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,4891,4,7,2,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,1310,0,0,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,2175,1,2,0,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,51,0,0,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,4649,1,23,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,621,0,7,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,4423,0,8,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,11148,4,18,7,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,1026,1,1,0,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,6027,15,19,9,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,32313,2,27,4,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,15953,1,28,1,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,46373,9,30,20,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,7375,1,11,0,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,1831,0,1,0,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,38479,3,6,3,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,264618,160,1185,132,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,25263,27,214,13,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,41424,9,216,7,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,111075,69,727,61,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,33812,76,426,39,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,2578,2,34,1,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,986,1,3,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,34498,13,240,14,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,14047,6,9,5,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,63629,65,1988,16,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,8893,14,141,9,cases
,,,,,,,779468,484,5371,344,
