"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","probable_value","severe_value","death_value","unit"
,"Brazil-Rondonia","state","dengue_reported","NA","NA","NA",8156,35,5,"cases"
,"Brazil-Acre","state","dengue_reported","NA","NA","NA",2421,3,0,"cases"
,"Brazil-Amazonas","state","dengue_reported","NA","NA","NA",17218,94,10,"cases"
,"Brazil-Roraima","state","dengue_reported","NA","NA","NA",859,2,0,"cases"
,"Brazil-Para","state","dengue_reported","NA","NA","NA",8737,43,10,"cases"
,"Brazil-Amapa","state","dengue_reported","NA","NA","NA",1685,8,2,"cases"
,"Brazil-Tocantins","state","dengue_reported","NA","NA","NA",8115,26,5,"cases"
,"Brazil-Maranhao","state","dengue_reported","NA","NA","NA",3477,40,16,"cases"
,"Brazil-Piaui","state","dengue_reported","NA","NA","NA",4838,16,1,"cases"
,"Brazil-Ceara","state","dengue_reported","NA","NA","NA",29250,187,67,"cases"
,"Brazil-Rio_Grande_do_Norte","state","dengue_reported","NA","NA","NA",17940,120,16,"cases"
,"Brazil-Paraiba","state","dengue_reported","NA","NA","NA",13039,112,15,"cases"
,"Brazil-Pernambuco","state","dengue_reported","NA","NA","NA",7581,74,36,"cases"
,"Brazil-Alagoas","state","dengue_reported","NA","NA","NA",10170,25,2,"cases"
,"Brazil-Sergipe","state","dengue_reported","NA","NA","NA",693,5,2,"cases"
,"Brazil-Bahia","state","dengue_reported","NA","NA","NA",60108,142,17,"cases"
,"Brazil-Minas_Gerais","state","dengue_reported","NA","NA","NA",414254,406,104,"cases"
,"Brazil-Espirito_Santo","state","dengue_reported","NA","NA","NA",66843,1382,29,"cases"
,"Brazil-Rio_de_Janeiro","state","dengue_reported","NA","NA","NA",211692,1241,58,"cases"
,"Brazil-Sao_Paulo","state","dengue_reported","NA","NA","NA",219732,449,76,"cases"
,"Brazil-Parana","state","dengue_reported","NA","NA","NA",65448,232,26,"cases"
,"Brazil-Santa_Catarina","state","dengue_reported","NA","NA","NA",353,1,0,"cases"
,"Brazil-Rio_Grande_do_Sul","state","dengue_reported","NA","NA","NA",443,2,1,"cases"
,"Brazil-Mato_Grosso_do_Sul","state","dengue_reported","NA","NA","NA",78509,766,36,"cases"
,"Brazil-Mato_Grosso","state","dengue_reported","NA","NA","NA",34015,96,26,"cases"
,"Brazil-Goias","state","dengue_reported","NA","NA","NA",135043,1209,84,"cases"
,"Brazil-Distrito_Federal","state","dengue_reported","NA","NA","NA",11704,16,6,"cases"
