"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","probable_value","severe_value","deathsevere_value","unit"
,"Brazil-Rondonia","state","dengue_reported","NA","NA","NA",7738,28,4,"cases"
,"Brazil-Acre","state","dengue_reported","NA","NA","NA",2097,2,0,"cases"
,"Brazil-Amazonas","state","dengue_reported","NA","NA","NA",12644,83,8,"cases"
,"Brazil-Roraima","state","dengue_reported","NA","NA","NA",194,0,0,"cases"
,"Brazil-Para","state","dengue_reported","NA","NA","NA",6968,32,9,"cases"
,"Brazil-Amapa","state","dengue_reported","NA","NA","NA",1256,6,1,"cases"
,"Brazil-Tocantins","state","dengue_reported","NA","NA","NA",5817,17,2,"cases"
,"Brazil-Maranhao","state","dengue_reported","NA","NA","NA",1848,22,9,"cases"
,"Brazil-Piaui","state","dengue_reported","NA","NA","NA",2128,8,0,"cases"
,"Brazil-Ceara","state","dengue_reported","NA","NA","NA",8838,44,20,"cases"
,"Brazil-Rio_Grande_do_Norte","state","dengue_reported","NA","NA","NA",6332,46,5,"cases"
,"Brazil-Paraiba","state","dengue_reported","NA","NA","NA",4114,34,7,"cases"
,"Brazil-Pernambuco","state","dengue_reported","NA","NA","NA",2716,20,7,"cases"
,"Brazil-Alagoas","state","dengue_reported","NA","NA","NA",2083,9,0,"cases"
,"Brazil-Sergipe","state","dengue_reported","NA","NA","NA",171,1,0,"cases"
,"Brazil-Bahia","state","dengue_reported","NA","NA","NA",45463,87,10,"cases"
,"Brazil-Minas_Gerais","state","dengue_reported","NA","NA","NA",348943,335,88,"cases"
,"Brazil-Espirito_Santo","state","dengue_reported","NA","NA","NA",44976,1120,22,"cases"
,"Brazil-Rio_de_Janeiro","state","dengue_reported","NA","NA","NA",172532,1068,42,"cases"
,"Brazil-Sao_Paulo","state","dengue_reported","NA","NA","NA",170511,359,59,"cases"
,"Brazil-Parana","state","dengue_reported","NA","NA","NA",54490,213,26,"cases"
,"Brazil-Santa_Catarina","state","dengue_reported","NA","NA","NA",280,1,0,"cases"
,"Brazil-Rio_Grande_do_Sul","state","dengue_reported","NA","NA","NA",353,1,0,"cases"
,"Brazil-Mato_Grosso_do_Sul","state","dengue_reported","NA","NA","NA",71455,721,31,"cases"
,"Brazil-Mato_Grosso","state","dengue_reported","NA","NA","NA",27985,89,21,"cases"
,"Brazil-Goias","state","dengue_reported","NA","NA","NA",103735,1030,61,"cases"
,"Brazil-Distrito_Federal","state","dengue_reported","NA","NA","NA",5336,8,3,"cases"
