"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","probable_value","severe_value","death_value","unit"
,"Brazil-Rondonia","state","dengue_reported","NA","NA","NA",7893,34,5,"cases"
,"Brazil-Acre","state","dengue_reported","NA","NA","NA",2352,3,0,"cases"
,"Brazil-Amazonas","state","dengue_reported","NA","NA","NA",16709,94,10,"cases"
,"Brazil-Roraima","state","dengue_reported","NA","NA","NA",702,0,0,"cases"
,"Brazil-Para","state","dengue_reported","NA","NA","NA",8469,38,9,"cases"
,"Brazil-Amapa","state","dengue_reported","NA","NA","NA",1621,8,2,"cases"
,"Brazil-Tocantins","state","dengue_reported","NA","NA","NA",7858,25,5,"cases"
,"Brazil-Maranhao","state","dengue_reported","NA","NA","NA",3319,38,16,"cases"
,"Brazil-Piaui","state","dengue_reported","NA","NA","NA",4636,16,1,"cases"
,"Brazil-Ceara","state","dengue_reported","NA","NA","NA",27884,173,61,"cases"
,"Brazil-Rio_Grande_do_Norte","state","dengue_reported","NA","NA","NA",16624,115,16,"cases"
,"Brazil-Paraiba","state","dengue_reported","NA","NA","NA",12192,103,14,"cases"
,"Brazil-Pernambuco","state","dengue_reported","NA","NA","NA",6876,66,35,"cases"
,"Brazil-Alagoas","state","dengue_reported","NA","NA","NA",8717,23,2,"cases"
,"Brazil-Sergipe","state","dengue_reported","NA","NA","NA",588,5,2,"cases"
,"Brazil-Bahia","state","dengue_reported","NA","NA","NA",59004,134,16,"cases"
,"Brazil-Minas_Gerais","state","dengue_reported","NA","NA","NA",412874,403,103,"cases"
,"Brazil-Espirito_Santo","state","dengue_reported","NA","NA","NA",65597,1352,28,"cases"
,"Brazil-Rio_de_Janeiro","state","dengue_reported","NA","NA","NA",210604,1233,56,"cases"
,"Brazil-Sao_Paulo","state","dengue_reported","NA","NA","NA",218728,442,76,"cases"
,"Brazil-Parana","state","dengue_reported","NA","NA","NA",65175,231,26,"cases"
,"Brazil-Santa_Catarina","state","dengue_reported","NA","NA","NA",348,1,0,"cases"
,"Brazil-Rio_Grande_do_Sul","state","dengue_reported","NA","NA","NA",440,1,0,"cases"
,"Brazil-Mato_Grosso_do_Sul","state","dengue_reported","NA","NA","NA",78211,763,36,"cases"
,"Brazil-Mato_Grosso","state","dengue_reported","NA","NA","NA",33169,96,26,"cases"
,"Brazil-Goias","state","dengue_reported","NA","NA","NA",132332,1181,82,"cases"
,"Brazil-Distrito_Federal","state","dengue_reported","NA","NA","NA",11484,16,6,"cases"
