report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,1034,4,7,2,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,4727,0,2,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,2555,0,3,0,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,395,0,1,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,4221,9,23,3,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,2445,15,18,2,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,4698,4,14,2,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,5851,21,32,7,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,6085,11,33,2,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,35204,81,439,38,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,19193,3,39,2,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,11945,8,52,3,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,59740,12,48,13,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,8945,1,48,1,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,2856,2,0,0,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,30532,16,12,8,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,146360,103,846,55,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,8539,27,208,8,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,43515,35,214,22,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,678919,588,12610,430,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,38667,88,317,24,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,4045,1,102,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,1491,2,9,2,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,17645,10,139,9,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,9680,7,28,3,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,124246,212,2430,62,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,6912,17,65,12,cases
