"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","probable_value","severe_value","death_value","unit"
,"Brazil-Rondonia","state","dengue_reported","NA","NA","NA",7879,34,5,"cases"
,"Brazil-Acre","state","dengue_reported","NA","NA","NA",2348,3,0,"cases"
,"Brazil-Amazonas","state","dengue_reported","NA","NA","NA",16630,94,10,"cases"
,"Brazil-Roraima","state","dengue_reported","NA","NA","NA",676,0,0,"cases"
,"Brazil-Para","state","dengue_reported","NA","NA","NA",8446,37,9,"cases"
,"Brazil-Amapa","state","dengue_reported","NA","NA","NA",1614,8,2,"cases"
,"Brazil-Tocantins","state","dengue_reported","NA","NA","NA",7835,22,3,"cases"
,"Brazil-Maranhao","state","dengue_reported","NA","NA","NA",3268,38,16,"cases"
,"Brazil-Piaui","state","dengue_reported","NA","NA","NA",4595,16,1,"cases"
,"Brazil-Ceara","state","dengue_reported","NA","NA","NA",27559,171,59,"cases"
,"Brazil-Rio_Grande_do_Norte","state","dengue_reported","NA","NA","NA",16359,113,16,"cases"
,"Brazil-Paraiba","state","dengue_reported","NA","NA","NA",12021,100,13,"cases"
,"Brazil-Pernambuco","state","dengue_reported","NA","NA","NA",6794,66,35,"cases"
,"Brazil-Alagoas","state","dengue_reported","NA","NA","NA",8527,22,2,"cases"
,"Brazil-Sergipe","state","dengue_reported","NA","NA","NA",580,4,2,"cases"
,"Brazil-Bahia","state","dengue_reported","NA","NA","NA",58817,133,15,"cases"
,"Brazil-Minas_Gerais","state","dengue_reported","NA","NA","NA",412744,403,103,"cases"
,"Brazil-Espirito_Santo","state","dengue_reported","NA","NA","NA",65407,1350,28,"cases"
,"Brazil-Rio_de_Janeiro","state","dengue_reported","NA","NA","NA",210476,1232,56,"cases"
,"Brazil-Sao_Paulo","state","dengue_reported","NA","NA","NA",218624,441,76,"cases"
,"Brazil-Parana","state","dengue_reported","NA","NA","NA",65152,231,26,"cases"
,"Brazil-Santa_Catarina","state","dengue_reported","NA","NA","NA",347,1,0,"cases"
,"Brazil-Rio_Grande_do_Sul","state","dengue_reported","NA","NA","NA",440,1,0,"cases"
,"Brazil-Mato_Grosso_do_Sul","state","dengue_reported","NA","NA","NA",78173,760,36,"cases"
,"Brazil-Mato_Grosso","state","dengue_reported","NA","NA","NA",33087,96,26,"cases"
,"Brazil-Goias","state","dengue_reported","NA","NA","NA",132020,1178,82,"cases"
,"Brazil-Distrito_Federal","state","dengue_reported","NA","NA","NA",11444,16,6,"cases"
