"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","probable_value","severe_value","death_value","unit"
,"Brazil-Rondonia","state","dengue_reported","NA","NA","NA",8512,28,4,"cases"
,"Brazil-Acre","state","dengue_reported","NA","NA","NA",2347,2,0,"cases"
,"Brazil-Amazonas","state","dengue_reported","NA","NA","NA",15445,89,9,"cases"
,"Brazil-Roraima","state","dengue_reported","NA","NA","NA",430,0,0,"cases"
,"Brazil-Para","state","dengue_reported","NA","NA","NA",8222,33,10,"cases"
,"Brazil-Amapa","state","dengue_reported","NA","NA","NA",1502,6,1,"cases"
,"Brazil-Tocantins","state","dengue_reported","NA","NA","NA",7500,19,3,"cases"
,"Brazil-Maranhao","state","dengue_reported","NA","NA","NA",2827,31,11,"cases"
,"Brazil-Piaui","state","dengue_reported","NA","NA","NA",3667,13,1,"cases"
,"Brazil-Ceara","state","dengue_reported","NA","NA","NA",19144,91,34,"cases"
,"Brazil-Rio_Grande_do_Norte","state","dengue_reported","NA","NA","NA",11631,70,11,"cases"
,"Brazil-Paraiba","state","dengue_reported","NA","NA","NA",8574,65,10,"cases"
,"Brazil-Pernambuco","state","dengue_reported","NA","NA","NA",6000,38,14,"cases"
,"Brazil-Alagoas","state","dengue_reported","NA","NA","NA",6143,14,0,"cases"
,"Brazil-Sergipe","state","dengue_reported","NA","NA","NA",444,2,1,"cases"
,"Brazil-Bahia","state","dengue_reported","NA","NA","NA",56938,103,12,"cases"
,"Brazil-Minas_Gerais","state","dengue_reported","NA","NA","NA",413249,366,96,"cases"
,"Brazil-Espirito_Santo","state","dengue_reported","NA","NA","NA",61443,1269,23,"cases"
,"Brazil-Rio_de_Janeiro","state","dengue_reported","NA","NA","NA",207586,1203,53,"cases"
,"Brazil-Sao_Paulo","state","dengue_reported","NA","NA","NA",216203,415,70,"cases"
,"Brazil-Parana","state","dengue_reported","NA","NA","NA",65935,228,26,"cases"
,"Brazil-Santa_Catarina","state","dengue_reported","NA","NA","NA",349,1,0,"cases"
,"Brazil-Rio_Grande_do_Sul","state","dengue_reported","NA","NA","NA",425,1,0,"cases"
,"Brazil-Mato_Grosso_do_Sul","state","dengue_reported","NA","NA","NA",77422,751,34,"cases"
,"Brazil-Mato_Grosso","state","dengue_reported","NA","NA","NA",32231,96,25,"cases"
,"Brazil-Goias","state","dengue_reported","NA","NA","NA",129433,1099,65,"cases"
,"Brazil-Distrito_Federal","state","dengue_reported","NA","NA","NA",10355,15,6,"cases"
