report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,1777,3,3,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,353,0,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,520,0,1,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,15,0,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,1428,1,8,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,127,0,2,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,1589,0,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,2488,0,10,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,280,0,0,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,1324,7,3,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,3906,1,1,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,4523,0,4,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,18506,2,20,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,2457,0,4,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,400,0,0,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,7346,0,1,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,55502,30,229,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,9833,14,85,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,16653,6,114,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,33010,18,220,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,8880,23,103,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,335,0,2,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,154,1,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,15866,5,127,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,5794,4,3,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,17253,18,766,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,2191,5,39,cases
,,,,,,,212510,138,1745,
