report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,2211,5,14,4,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,5317,0,2,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,3792,3,9,3,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,1097,0,10,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,7803,12,37,5,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,3297,16,32,2,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,7894,9,17,6,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,7943,26,44,11,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,7646,19,44,2,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,63116,121,672,68,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,22700,11,46,9,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,23426,12,78,7,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,110899,35,137,35,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,27130,15,99,6,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,9141,5,2,2,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,55211,29,46,14,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,192779,128,1047,74,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,35441,87,693,27,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,73437,56,472,31,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,745622,668,13429,504,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,45542,107,593,23,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,4441,1,112,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,1698,2,9,2,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,32241,14,338,17,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,21583,15,66,9,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,167427,286,3570,98,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,9854,32,75,27,cases
