"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","probable_value","severe_value","death_value","unit"
,"Brazil-Rondonia","state","dengue_reported","NA","NA","NA",8641,36,5,"cases"
,"Brazil-Acre","state","dengue_reported","NA","NA","NA",2531,3,0,"cases"
,"Brazil-Amazonas","state","dengue_reported","NA","NA","NA",17685,94,10,"cases"
,"Brazil-Roraima","state","dengue_reported","NA","NA","NA",919,2,0,"cases"
,"Brazil-Para","state","dengue_reported","NA","NA","NA",9118,43,10,"cases"
,"Brazil-Amapa","state","dengue_reported","NA","NA","NA",1706,9,3,"cases"
,"Brazil-Tocantins","state","dengue_reported","NA","NA","NA",8489,26,5,"cases"
,"Brazil-Maranhao","state","dengue_reported","NA","NA","NA",3580,41,17,"cases"
,"Brazil-Piaui","state","dengue_reported","NA","NA","NA",4970,17,2,"cases"
,"Brazil-Ceara","state","dengue_reported","NA","NA","NA",30078,191,70,"cases"
,"Brazil-Rio_Grande_do_Norte","state","dengue_reported","NA","NA","NA",18789,125,18,"cases"
,"Brazil-Paraiba","state","dengue_reported","NA","NA","NA",13389,117,15,"cases"
,"Brazil-Pernambuco","state","dengue_reported","NA","NA","NA",7917,77,37,"cases"
,"Brazil-Alagoas","state","dengue_reported","NA","NA","NA",11096,27,2,"cases"
,"Brazil-Sergipe","state","dengue_reported","NA","NA","NA",784,5,2,"cases"
,"Brazil-Bahia","state","dengue_reported","NA","NA","NA",60958,143,18,"cases"
,"Brazil-Minas_Gerais","state","dengue_reported","NA","NA","NA",415704,410,105,"cases"
,"Brazil-Espirito_Santo","state","dengue_reported","NA","NA","NA",67741,1413,29,"cases"
,"Brazil-Rio_de_Janeiro","state","dengue_reported","NA","NA","NA",212769,1248,58,"cases"
,"Brazil-Sao_Paulo","state","dengue_reported","NA","NA","NA",220686,453,76,"cases"
,"Brazil-Parana","state","dengue_reported","NA","NA","NA",65876,232,26,"cases"
,"Brazil-Santa_Catarina","state","dengue_reported","NA","NA","NA",357,1,0,"cases"
,"Brazil-Rio_Grande_do_Sul","state","dengue_reported","NA","NA","NA",445,2,1,"cases"
,"Brazil-Mato_Grosso_do_Sul","state","dengue_reported","NA","NA","NA",78871,772,36,"cases"
,"Brazil-Mato_Grosso","state","dengue_reported","NA","NA","NA",35002,97,27,"cases"
,"Brazil-Goias","state","dengue_reported","NA","NA","NA",138294,1227,92,"cases"
,"Brazil-Distrito_Federal","state","dengue_reported","NA","NA","NA",11897,16,6,"cases"
