"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","probable_value","severe_value","death_value","unit"
,"Brazil-Rondonia","state","dengue_reported","NA","NA","NA",8585,28,4,"cases"
,"Brazil-Acre","state","dengue_reported","NA","NA","NA",2392,3,0,"cases"
,"Brazil-Amazonas","state","dengue_reported","NA","NA","NA",15787,90,9,"cases"
,"Brazil-Roraima","state","dengue_reported","NA","NA","NA",489,0,0,"cases"
,"Brazil-Para","state","dengue_reported","NA","NA","NA",8289,35,10,"cases"
,"Brazil-Amapa","state","dengue_reported","NA","NA","NA",1522,6,1,"cases"
,"Brazil-Tocantins","state","dengue_reported","NA","NA","NA",7607,19,3,"cases"
,"Brazil-Maranhao","state","dengue_reported","NA","NA","NA",2935,33,13,"cases"
,"Brazil-Piaui","state","dengue_reported","NA","NA","NA",3931,14,1,"cases"
,"Brazil-Ceara","state","dengue_reported","NA","NA","NA",21246,119,41,"cases"
,"Brazil-Rio_Grande_do_Norte","state","dengue_reported","NA","NA","NA",12622,82,11,"cases"
,"Brazil-Paraiba","state","dengue_reported","NA","NA","NA",9337,82,12,"cases"
,"Brazil-Pernambuco","state","dengue_reported","NA","NA","NA",6366,46,20,"cases"
,"Brazil-Alagoas","state","dengue_reported","NA","NA","NA",6647,16,0,"cases"
,"Brazil-Sergipe","state","dengue_reported","NA","NA","NA",488,2,1,"cases"
,"Brazil-Bahia","state","dengue_reported","NA","NA","NA",57720,110,14,"cases"
,"Brazil-Minas_Gerais","state","dengue_reported","NA","NA","NA",414667,374,97,"cases"
,"Brazil-Espirito_Santo","state","dengue_reported","NA","NA","NA",62812,1293,23,"cases"
,"Brazil-Rio_de_Janeiro","state","dengue_reported","NA","NA","NA",208811,1212,53,"cases"
,"Brazil-Sao_Paulo","state","dengue_reported","NA","NA","NA",217396,420,70,"cases"
,"Brazil-Parana","state","dengue_reported","NA","NA","NA",66169,229,26,"cases"
,"Brazil-Santa_Catarina","state","dengue_reported","NA","NA","NA",353,1,0,"cases"
,"Brazil-Rio_Grande_do_Sul","state","dengue_reported","NA","NA","NA",427,1,0,"cases"
,"Brazil-Mato_Grosso_do_Sul","state","dengue_reported","NA","NA","NA",77718,757,36,"cases"
,"Brazil-Mato_Grosso","state","dengue_reported","NA","NA","NA",32595,96,25,"cases"
,"Brazil-Goias","state","dengue_reported","NA","NA","NA",131105,1106,65,"cases"
,"Brazil-Distrito_Federal","state","dengue_reported","NA","NA","NA",10760,16,6,"cases"
