"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","probable_value","severe_value","death_value","unit"
,"Brazil-Rondonia","state","dengue_reported","NA","NA","NA",8376,28,4,"cases"
,"Brazil-Acre","state","dengue_reported","NA","NA","NA",2268,2,0,"cases"
,"Brazil-Amazonas","state","dengue_reported","NA","NA","NA",14735,88,9,"cases"
,"Brazil-Roraima","state","dengue_reported","NA","NA","NA",347,0,0,"cases"
,"Brazil-Para","state","dengue_reported","NA","NA","NA",8063,33,10,"cases"
,"Brazil-Amapa","state","dengue_reported","NA","NA","NA",1464,6,1,"cases"
,"Brazil-Tocantins","state","dengue_reported","NA","NA","NA",7142,19,3,"cases"
,"Brazil-Maranhao","state","dengue_reported","NA","NA","NA",2589,29,11,"cases"
,"Brazil-Piaui","state","dengue_reported","NA","NA","NA",3137,12,1,"cases"
,"Brazil-Ceara","state","dengue_reported","NA","NA","NA",15805,70,28,"cases"
,"Brazil-Rio_Grande_do_Norte","state","dengue_reported","NA","NA","NA",10010,61,10,"cases"
,"Brazil-Paraiba","state","dengue_reported","NA","NA","NA",7232,56,9,"cases"
,"Brazil-Pernambuco","state","dengue_reported","NA","NA","NA",5189,32,12,"cases"
,"Brazil-Alagoas","state","dengue_reported","NA","NA","NA",4849,13,0,"cases"
,"Brazil-Sergipe","state","dengue_reported","NA","NA","NA",358,1,0,"cases"
,"Brazil-Bahia","state","dengue_reported","NA","NA","NA",54936,99,12,"cases"
,"Brazil-Minas_Gerais","state","dengue_reported","NA","NA","NA",407347,362,96,"cases"
,"Brazil-Espirito_Santo","state","dengue_reported","NA","NA","NA",58366,1243,22,"cases"
,"Brazil-Rio_de_Janeiro","state","dengue_reported","NA","NA","NA",203920,1192,53,"cases"
,"Brazil-Sao_Paulo","state","dengue_reported","NA","NA","NA",211622,405,68,"cases"
,"Brazil-Parana","state","dengue_reported","NA","NA","NA",64813,226,26,"cases"
,"Brazil-Santa_Catarina","state","dengue_reported","NA","NA","NA",337,1,0,"cases"
,"Brazil-Rio_Grande_do_Sul","state","dengue_reported","NA","NA","NA",420,1,0,"cases"
,"Brazil-Mato_Grosso_do_Sul","state","dengue_reported","NA","NA","NA",76774,746,34,"cases"
,"Brazil-Mato_Grosso","state","dengue_reported","NA","NA","NA",31498,93,23,"cases"
,"Brazil-Goias","state","dengue_reported","NA","NA","NA",124801,1090,63,"cases"
,"Brazil-Distrito_Federal","state","dengue_reported","NA","NA","NA",9323,13,5,"cases"
