"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","probable_value","severe_value","death_value","unit"
,"Brazil-Rondonia","state","dengue_reported","NA","NA","NA",7993,35,5,"cases"
,"Brazil-Acre","state","dengue_reported","NA","NA","NA",2376,3,0,"cases"
,"Brazil-Amazonas","state","dengue_reported","NA","NA","NA",16957,94,10,"cases"
,"Brazil-Roraima","state","dengue_reported","NA","NA","NA",788,1,0,"cases"
,"Brazil-Para","state","dengue_reported","NA","NA","NA",8578,40,10,"cases"
,"Brazil-Amapa","state","dengue_reported","NA","NA","NA",1656,8,2,"cases"
,"Brazil-Tocantins","state","dengue_reported","NA","NA","NA",7965,25,5,"cases"
,"Brazil-Maranhao","state","dengue_reported","NA","NA","NA",3413,39,16,"cases"
,"Brazil-Piaui","state","dengue_reported","NA","NA","NA",4764,16,1,"cases"
,"Brazil-Ceara","state","dengue_reported","NA","NA","NA",28729,182,64,"cases"
,"Brazil-Rio_Grande_do_Norte","state","dengue_reported","NA","NA","NA",17403,117,16,"cases"
,"Brazil-Paraiba","state","dengue_reported","NA","NA","NA",12695,104,14,"cases"
,"Brazil-Pernambuco","state","dengue_reported","NA","NA","NA",7276,68,35,"cases"
,"Brazil-Alagoas","state","dengue_reported","NA","NA","NA",9479,24,2,"cases"
,"Brazil-Sergipe","state","dengue_reported","NA","NA","NA",635,5,2,"cases"
,"Brazil-Bahia","state","dengue_reported","NA","NA","NA",59621,140,16,"cases"
,"Brazil-Minas_Gerais","state","dengue_reported","NA","NA","NA",413489,406,104,"cases"
,"Brazil-Espirito_Santo","state","dengue_reported","NA","NA","NA",66274,1371,29,"cases"
,"Brazil-Rio_de_Janeiro","state","dengue_reported","NA","NA","NA",211101,1235,57,"cases"
,"Brazil-Sao_Paulo","state","dengue_reported","NA","NA","NA",219153,444,76,"cases"
,"Brazil-Parana","state","dengue_reported","NA","NA","NA",65256,231,26,"cases"
,"Brazil-Santa_Catarina","state","dengue_reported","NA","NA","NA",350,1,0,"cases"
,"Brazil-Rio_Grande_do_Sul","state","dengue_reported","NA","NA","NA",441,2,1,"cases"
,"Brazil-Mato_Grosso_do_Sul","state","dengue_reported","NA","NA","NA",78333,765,36,"cases"
,"Brazil-Mato_Grosso","state","dengue_reported","NA","NA","NA",33516,96,26,"cases"
,"Brazil-Goias","state","dengue_reported","NA","NA","NA",133518,1192,83,"cases"
,"Brazil-Distrito_Federal","state","dengue_reported","NA","NA","NA",11598,16,6,"cases"
