"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","probable_value","severe_value","death_value","unit"
,"Brazil-Rondonia","state","dengue_reported","NA","NA","NA",7965,34,5,"cases"
,"Brazil-Acre","state","dengue_reported","NA","NA","NA",2370,3,0,"cases"
,"Brazil-Amazonas","state","dengue_reported","NA","NA","NA",16889,94,10,"cases"
,"Brazil-Roraima","state","dengue_reported","NA","NA","NA",767,0,0,"cases"
,"Brazil-Para","state","dengue_reported","NA","NA","NA",8555,38,10,"cases"
,"Brazil-Amapa","state","dengue_reported","NA","NA","NA",1643,8,2,"cases"
,"Brazil-Tocantins","state","dengue_reported","NA","NA","NA",7939,25,5,"cases"
,"Brazil-Maranhao","state","dengue_reported","NA","NA","NA",3391,39,16,"cases"
,"Brazil-Piaui","state","dengue_reported","NA","NA","NA",4737,16,1,"cases"
,"Brazil-Ceara","state","dengue_reported","NA","NA","NA",28552,175,62,"cases"
,"Brazil-Rio_Grande_do_Norte","state","dengue_reported","NA","NA","NA",17245,116,16,"cases"
,"Brazil-Paraiba","state","dengue_reported","NA","NA","NA",12574,104,14,"cases"
,"Brazil-Pernambuco","state","dengue_reported","NA","NA","NA",7186,68,35,"cases"
,"Brazil-Alagoas","state","dengue_reported","NA","NA","NA",9322,24,2,"cases"
,"Brazil-Sergipe","state","dengue_reported","NA","NA","NA",619,5,2,"cases"
,"Brazil-Bahia","state","dengue_reported","NA","NA","NA",59492,136,16,"cases"
,"Brazil-Minas_Gerais","state","dengue_reported","NA","NA","NA",413333,404,104,"cases"
,"Brazil-Espirito_Santo","state","dengue_reported","NA","NA","NA",66125,1361,29,"cases"
,"Brazil-Rio_de_Janeiro","state","dengue_reported","NA","NA","NA",210984,1234,56,"cases"
,"Brazil-Sao_Paulo","state","dengue_reported","NA","NA","NA",219051,442,76,"cases"
,"Brazil-Parana","state","dengue_reported","NA","NA","NA",65233,231,26,"cases"
,"Brazil-Santa_Catarina","state","dengue_reported","NA","NA","NA",350,1,0,"cases"
,"Brazil-Rio_Grande_do_Sul","state","dengue_reported","NA","NA","NA",440,1,0,"cases"
,"Brazil-Mato_Grosso_do_Sul","state","dengue_reported","NA","NA","NA",78310,764,36,"cases"
,"Brazil-Mato_Grosso","state","dengue_reported","NA","NA","NA",33418,96,26,"cases"
,"Brazil-Goias","state","dengue_reported","NA","NA","NA",133186,1186,82,"cases"
,"Brazil-Distrito_Federal","state","dengue_reported","NA","NA","NA",11583,16,6,"cases"
