"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","probable_value","severe_value","death_value","unit"
,"Brazil-Rondonia","state","dengue_reported","NA","NA","NA",8436,28,4,"cases"
,"Brazil-Acre","state","dengue_reported","NA","NA","NA",2289,2,0,"cases"
,"Brazil-Amazonas","state","dengue_reported","NA","NA","NA",15043,88,9,"cases"
,"Brazil-Roraima","state","dengue_reported","NA","NA","NA",372,0,0,"cases"
,"Brazil-Para","state","dengue_reported","NA","NA","NA",8127,33,10,"cases"
,"Brazil-Amapa","state","dengue_reported","NA","NA","NA",1480,6,1,"cases"
,"Brazil-Tocantins","state","dengue_reported","NA","NA","NA",7262,19,3,"cases"
,"Brazil-Maranhao","state","dengue_reported","NA","NA","NA",2671,29,11,"cases"
,"Brazil-Piaui","state","dengue_reported","NA","NA","NA",3326,12,1,"cases"
,"Brazil-Ceara","state","dengue_reported","NA","NA","NA",16864,70,33,"cases"
,"Brazil-Rio_Grande_do_Norte","state","dengue_reported","NA","NA","NA",10536,61,11,"cases"
,"Brazil-Paraiba","state","dengue_reported","NA","NA","NA",7717,56,10,"cases"
,"Brazil-Pernambuco","state","dengue_reported","NA","NA","NA",5514,32,14,"cases"
,"Brazil-Alagoas","state","dengue_reported","NA","NA","NA",5324,13,0,"cases"
,"Brazil-Sergipe","state","dengue_reported","NA","NA","NA",387,1,1,"cases"
,"Brazil-Bahia","state","dengue_reported","NA","NA","NA",55746,99,12,"cases"
,"Brazil-Minas_Gerais","state","dengue_reported","NA","NA","NA",409955,362,96,"cases"
,"Brazil-Espirito_Santo","state","dengue_reported","NA","NA","NA",59416,1243,22,"cases"
,"Brazil-Rio_de_Janeiro","state","dengue_reported","NA","NA","NA",205409,1192,53,"cases"
,"Brazil-Sao_Paulo","state","dengue_reported","NA","NA","NA",213482,405,68,"cases"
,"Brazil-Parana","state","dengue_reported","NA","NA","NA",65314,226,26,"cases"
,"Brazil-Santa_Catarina","state","dengue_reported","NA","NA","NA",337,1,0,"cases"
,"Brazil-Rio_Grande_do_Sul","state","dengue_reported","NA","NA","NA",423,1,0,"cases"
,"Brazil-Mato_Grosso_do_Sul","state","dengue_reported","NA","NA","NA",77019,746,34,"cases"
,"Brazil-Mato_Grosso","state","dengue_reported","NA","NA","NA",31768,93,24,"cases"
,"Brazil-Goias","state","dengue_reported","NA","NA","NA",126604,1090,64,"cases"
,"Brazil-Distrito_Federal","state","dengue_reported","NA","NA","NA",9760,13,6,"cases"
