"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","probable_value","severe_value","death_value","unit"
,"Brazil-Rondonia","state","dengue_reported","NA","NA","NA",8475,28,4,"cases"
,"Brazil-Acre","state","dengue_reported","NA","NA","NA",2312,2,0,"cases"
,"Brazil-Amazonas","state","dengue_reported","NA","NA","NA",15264,89,9,"cases"
,"Brazil-Roraima","state","dengue_reported","NA","NA","NA",399,0,0,"cases"
,"Brazil-Para","state","dengue_reported","NA","NA","NA",8185,33,10,"cases"
,"Brazil-Amapa","state","dengue_reported","NA","NA","NA",1492,6,1,"cases"
,"Brazil-Tocantins","state","dengue_reported","NA","NA","NA",7402,19,3,"cases"
,"Brazil-Maranhao","state","dengue_reported","NA","NA","NA",2764,29,11,"cases"
,"Brazil-Piaui","state","dengue_reported","NA","NA","NA",3505,13,1,"cases"
,"Brazil-Ceara","state","dengue_reported","NA","NA","NA",17924,81,33,"cases"
,"Brazil-Rio_Grande_do_Norte","state","dengue_reported","NA","NA","NA",11077,66,11,"cases"
,"Brazil-Paraiba","state","dengue_reported","NA","NA","NA",8196,62,10,"cases"
,"Brazil-Pernambuco","state","dengue_reported","NA","NA","NA",5770,37,14,"cases"
,"Brazil-Alagoas","state","dengue_reported","NA","NA","NA",5797,14,0,"cases"
,"Brazil-Sergipe","state","dengue_reported","NA","NA","NA",415,2,1,"cases"
,"Brazil-Bahia","state","dengue_reported","NA","NA","NA",56447,101,12,"cases"
,"Brazil-Minas_Gerais","state","dengue_reported","NA","NA","NA",411886,365,96,"cases"
,"Brazil-Espirito_Santo","state","dengue_reported","NA","NA","NA",60508,1256,22,"cases"
,"Brazil-Rio_de_Janeiro","state","dengue_reported","NA","NA","NA",206656,1199,53,"cases"
,"Brazil-Sao_Paulo","state","dengue_reported","NA","NA","NA",215018,409,68,"cases"
,"Brazil-Parana","state","dengue_reported","NA","NA","NA",65715,227,26,"cases"
,"Brazil-Santa_Catarina","state","dengue_reported","NA","NA","NA",346,1,0,"cases"
,"Brazil-Rio_Grande_do_Sul","state","dengue_reported","NA","NA","NA",424,1,0,"cases"
,"Brazil-Mato_Grosso_do_Sul","state","dengue_reported","NA","NA","NA",77222,748,34,"cases"
,"Brazil-Mato_Grosso","state","dengue_reported","NA","NA","NA",32014,94,24,"cases"
,"Brazil-Goias","state","dengue_reported","NA","NA","NA",128182,1093,64,"cases"
,"Brazil-Distrito_Federal","state","dengue_reported","NA","NA","NA",10101,15,6,"cases"
