report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,646,3,5,2,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,4344,0,2,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,1782,0,2,0,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,226,0,1,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,2431,3,14,1,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,1833,13,10,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,2591,2,8,1,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,3676,8,20,1,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,2743,0,18,0,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,11584,30,126,16,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,10960,3,18,2,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,3750,3,18,1,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,26004,5,24,4,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,3708,0,31,0,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,1707,2,0,0,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,15360,7,6,3,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,48210,45,369,25,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,3024,13,72,6,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,18267,20,136,11,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,433753,399,8342,295,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,19756,55,200,15,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,2352,0,68,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,648,1,3,1,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,9891,4,82,5,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,4208,3,7,2,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,69431,107,1531,30,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,2346,5,11,5,cases
