"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","probable_value","severe_value","deathsevere_value","unit"
,"Brazil-Rondonia","state","dengue_reported","NA","NA","NA",8006,28,4,"cases"
,"Brazil-Acre","state","dengue_reported","NA","NA","NA",2156,2,0,"cases"
,"Brazil-Amazonas","state","dengue_reported","NA","NA","NA",13488,86,8,"cases"
,"Brazil-Roraima","state","dengue_reported","NA","NA","NA",234,0,0,"cases"
,"Brazil-Para","state","dengue_reported","NA","NA","NA",7447,33,10,"cases"
,"Brazil-Amapa","state","dengue_reported","NA","NA","NA",1345,6,1,"cases"
,"Brazil-Tocantins","state","dengue_reported","NA","NA","NA",6360,18,2,"cases"
,"Brazil-Maranhao","state","dengue_reported","NA","NA","NA",2129,26,10,"cases"
,"Brazil-Piaui","state","dengue_reported","NA","NA","NA",2420,12,1,"cases"
,"Brazil-Ceara","state","dengue_reported","NA","NA","NA",11258,54,22,"cases"
,"Brazil-Rio_Grande_do_Norte","state","dengue_reported","NA","NA","NA",7535,53,6,"cases"
,"Brazil-Paraiba","state","dengue_reported","NA","NA","NA",5085,38,7,"cases"
,"Brazil-Pernambuco","state","dengue_reported","NA","NA","NA",3563,21,8,"cases"
,"Brazil-Alagoas","state","dengue_reported","NA","NA","NA",2665,12,0,"cases"
,"Brazil-Sergipe","state","dengue_reported","NA","NA","NA",213,1,0,"cases"
,"Brazil-Bahia","state","dengue_reported","NA","NA","NA",49636,90,11,"cases"
,"Brazil-Minas_Gerais","state","dengue_reported","NA","NA","NA",381340,348,91,"cases"
,"Brazil-Espirito_Santo","state","dengue_reported","NA","NA","NA",50619,1197,22,"cases"
,"Brazil-Rio_de_Janeiro","state","dengue_reported","NA","NA","NA",189056,1137,50,"cases"
,"Brazil-Sao_Paulo","state","dengue_reported","NA","NA","NA",190320,388,63,"cases"
,"Brazil-Parana","state","dengue_reported","NA","NA","NA",59726,221,26,"cases"
,"Brazil-Santa_Catarina","state","dengue_reported","NA","NA","NA",309,1,0,"cases"
,"Brazil-Rio_Grande_do_Sul","state","dengue_reported","NA","NA","NA",388,1,0,"cases"
,"Brazil-Mato_Grosso_do_Sul","state","dengue_reported","NA","NA","NA",73928,737,33,"cases"
,"Brazil-Mato_Grosso","state","dengue_reported","NA","NA","NA",29465,91,23,"cases"
,"Brazil-Goias","state","dengue_reported","NA","NA","NA",112859,1062,61,"cases"
,"Brazil-Distrito_Federal","state","dengue_reported","NA","NA","NA",6756,11,4,"cases"
