"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","probable_value","severe_value","death_value","unit"
,"Brazil-Rondonia","state","dengue_reported","NA","NA","NA",8347,36,5,"cases"
,"Brazil-Acre","state","dengue_reported","NA","NA","NA",2473,3,0,"cases"
,"Brazil-Amazonas","state","dengue_reported","NA","NA","NA",17359,94,10,"cases"
,"Brazil-Roraima","state","dengue_reported","NA","NA","NA",886,2,0,"cases"
,"Brazil-Para","state","dengue_reported","NA","NA","NA",8880,43,10,"cases"
,"Brazil-Amapa","state","dengue_reported","NA","NA","NA",1699,9,3,"cases"
,"Brazil-Tocantins","state","dengue_reported","NA","NA","NA",8250,26,5,"cases"
,"Brazil-Maranhao","state","dengue_reported","NA","NA","NA",3512,41,17,"cases"
,"Brazil-Piaui","state","dengue_reported","NA","NA","NA",4886,17,2,"cases"
,"Brazil-Ceara","state","dengue_reported","NA","NA","NA",29601,188,67,"cases"
,"Brazil-Rio_Grande_do_Norte","state","dengue_reported","NA","NA","NA",18321,124,17,"cases"
,"Brazil-Paraiba","state","dengue_reported","NA","NA","NA",13181,113,15,"cases"
,"Brazil-Pernambuco","state","dengue_reported","NA","NA","NA",7735,76,37,"cases"
,"Brazil-Alagoas","state","dengue_reported","NA","NA","NA",10547,26,2,"cases"
,"Brazil-Sergipe","state","dengue_reported","NA","NA","NA",735,5,2,"cases"
,"Brazil-Bahia","state","dengue_reported","NA","NA","NA",60466,142,17,"cases"
,"Brazil-Minas_Gerais","state","dengue_reported","NA","NA","NA",414758,408,104,"cases"
,"Brazil-Espirito_Santo","state","dengue_reported","NA","NA","NA",67173,1399,29,"cases"
,"Brazil-Rio_de_Janeiro","state","dengue_reported","NA","NA","NA",212052,1244,58,"cases"
,"Brazil-Sao_Paulo","state","dengue_reported","NA","NA","NA",220072,450,76,"cases"
,"Brazil-Parana","state","dengue_reported","NA","NA","NA",65591,232,26,"cases"
,"Brazil-Santa_Catarina","state","dengue_reported","NA","NA","NA",355,1,0,"cases"
,"Brazil-Rio_Grande_do_Sul","state","dengue_reported","NA","NA","NA",443,2,1,"cases"
,"Brazil-Mato_Grosso_do_Sul","state","dengue_reported","NA","NA","NA",78639,767,36,"cases"
,"Brazil-Mato_Grosso","state","dengue_reported","NA","NA","NA",34386,96,26,"cases"
,"Brazil-Goias","state","dengue_reported","NA","NA","NA",136211,1217,89,"cases"
,"Brazil-Distrito_Federal","state","dengue_reported","NA","NA","NA",11773,16,6,"cases"
