report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,205,1,2,0,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,2606,0,2,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,667,0,0,0,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,108,0,1,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,468,1,5,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,543,0,2,0,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,424,1,1,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,600,0,3,0,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,283,0,2,0,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,2343,8,23,4,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,1955,1,4,1,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,372,1,5,1,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,3065,0,7,0,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,1048,0,2,0,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,342,1,0,0,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,1408,1,0,1,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,6517,7,34,5,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,1050,5,25,4,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,3395,10,26,4,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,65408,83,885,68,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,2238,5,31,0,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,254,0,8,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,18,0,0,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,1902,3,19,4,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,966,0,1,0,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,17805,33,440,9,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,462,2,1,2,cases
