report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,113,0,0,0,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,1748,0,1,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,385,0,0,0,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,74,0,1,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,229,0,2,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,262,0,1,0,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,219,1,1,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,378,0,3,0,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,141,0,1,0,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,1164,4,11,3,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,1071,1,2,1,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,172,0,1,0,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,1565,0,3,0,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,500,0,1,0,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,207,1,0,0,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,573,0,0,0,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,2977,3,16,3,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,678,5,10,4,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,1819,7,19,3,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,24330,35,250,27,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,905,1,16,0,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,57,0,1,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,12,0,0,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,884,2,7,1,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,515,0,0,0,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,8687,19,195,7,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,192,1,0,1,cases
