report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,1829,3,1,0,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,1105,0,0,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,3057,3,11,2,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,239,0,1,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,6966,1,7,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,807,1,9,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,4470,2,96,2,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,6533,10,30,4,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,4749,2,7,0,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,37661,29,88,24,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,5361,8,6,8,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,2481,1,10,0,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,5853,13,32,7,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,2267,3,8,4,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,424,0,1,0,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,8266,1,12,1,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,22920,20,105,17,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,5690,12,80,7,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,8773,3,70,3,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,5556,11,46,5,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,1376,0,7,0,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,127,0,0,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,121,1,0,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,1348,2,25,3,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,7750,3,15,4,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,55415,98,1676,49,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,3384,15,77,10,cases
