report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,1475,2,9,2,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,18481,0,18,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,5929,7,8,8,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,965,2,1,1,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,4045,4,24,4,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,1732,2,7,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,3208,3,31,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,2296,18,46,13,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,7344,11,24,5,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,20836,60,211,50,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,10220,21,127,19,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,5245,11,97,9,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,8996,22,44,32,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,12230,19,245,4,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,1989,9,10,4,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,12895,29,108,12,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,56244,47,662,50,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,17628,31,315,16,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,6927,15,85,9,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,218855,194,4958,88,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,22029,51,289,12,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,114,0,1,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,146,0,1,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,2980,4,59,4,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,6429,5,20,5,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,86284,121,665,85,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,11498,33,134,15,cases
