"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","probable_value","severe_value","deathsevere_value","unit"
,"Brazil-Rondonia","state","dengue_reported","NA","NA","NA",7327,26,4,"cases"
,"Brazil-Acre","state","dengue_reported","NA","NA","NA",2016,2,0,"cases"
,"Brazil-Amazonas","state","dengue_reported","NA","NA","NA",11327,78,8,"cases"
,"Brazil-Roraima","state","dengue_reported","NA","NA","NA",174,0,0,"cases"
,"Brazil-Para","state","dengue_reported","NA","NA","NA",6161,29,8,"cases"
,"Brazil-Amapa","state","dengue_reported","NA","NA","NA",1043,6,1,"cases"
,"Brazil-Tocantins","state","dengue_reported","NA","NA","NA",5175,16,1,"cases"
,"Brazil-Maranhao","state","dengue_reported","NA","NA","NA",1501,18,9,"cases"
,"Brazil-Piaui","state","dengue_reported","NA","NA","NA",1690,7,0,"cases"
,"Brazil-Ceara","state","dengue_reported","NA","NA","NA",6484,28,14,"cases"
,"Brazil-Rio_Grande_do_Norte","state","dengue_reported","NA","NA","NA",5001,38,5,"cases"
,"Brazil-Paraiba","state","dengue_reported","NA","NA","NA",3178,28,6,"cases"
,"Brazil-Pernambuco","state","dengue_reported","NA","NA","NA",1903,15,4,"cases"
,"Brazil-Alagoas","state","dengue_reported","NA","NA","NA",1556,8,0,"cases"
,"Brazil-Sergipe","state","dengue_reported","NA","NA","NA",140,1,0,"cases"
,"Brazil-Bahia","state","dengue_reported","NA","NA","NA",39140,72,9,"cases"
,"Brazil-Minas_Gerais","state","dengue_reported","NA","NA","NA",280179,282,76,"cases"
,"Brazil-Espirito_Santo","state","dengue_reported","NA","NA","NA",38249,999,20,"cases"
,"Brazil-Rio_de_Janeiro","state","dengue_reported","NA","NA","NA",141251,864,33,"cases"
,"Brazil-Sao_Paulo","state","dengue_reported","NA","NA","NA",135046,291,48,"cases"
,"Brazil-Parana","state","dengue_reported","NA","NA","NA",45296,176,22,"cases"
,"Brazil-Santa_Catarina","state","dengue_reported","NA","NA","NA",241,0,0,"cases"
,"Brazil-Rio_Grande_do_Sul","state","dengue_reported","NA","NA","NA",307,0,0,"cases"
,"Brazil-Mato_Grosso_do_Sul","state","dengue_reported","NA","NA","NA",67150,690,30,"cases"
,"Brazil-Mato_Grosso","state","dengue_reported","NA","NA","NA",25755,79,19,"cases"
,"Brazil-Goias","state","dengue_reported","NA","NA","NA",90704,963,48,"cases"
,"Brazil-Distrito_Federal","state","dengue_reported","NA","NA","NA",3722,6,3,"cases"
