"biweekEndDate","meanSlope","varSlope","biweek","year","location"
2015-12-02,0.701932367149758,0.658555686626971,24,2015,"Amazonas"
2015-12-16,0.875316856780735,0.807347783008429,25,2015,"Amazonas"
2015-12-30,0.206671590349581,0.168834040080915,26,2015,"Amazonas"
2016-01-13,0,0,1,2016,"Amazonas"
2016-01-27,NA,NA,2,2016,"Amazonas"
2016-02-10,4.8852223316716,9.3034263461046,3,2016,"Amazonas"
2016-02-24,1.50434715428915,0.111262286861168,4,2016,"Amazonas"
2016-03-09,1.30876398568216,0.0626878022257499,5,2016,"Amazonas"
2016-03-23,0.821312747915738,0.0245762598076902,6,2016,"Amazonas"
2016-04-06,0.576437611068962,0.0181105531933817,7,2016,"Amazonas"
2016-04-20,0.600170535572781,0.0347950470896127,8,2016,"Amazonas"
2016-05-04,0.633289710382374,0.0727878208238069,9,2016,"Amazonas"
2016-05-18,1.70492174855588,0.804138201590352,10,2016,"Amazonas"
2016-06-01,0.990699819132729,0.150643274757276,11,2016,"Amazonas"
2016-06-15,0.347086173789244,0.0371870435522983,12,2016,"Amazonas"
2016-06-29,0.983400983099172,0.888694527363586,13,2016,"Amazonas"
2016-07-13,0.841570953564723,0.644124324027135,14,2016,"Amazonas"
2016-07-27,0.191404138074444,0.13775989655612,15,2016,"Amazonas"
2016-08-10,0,0,16,2016,"Amazonas"
2016-08-24,NA,NA,17,2016,"Amazonas"
2016-09-07,0.41705069124424,0.419013483529613,18,2016,"Amazonas"
2016-09-21,0.400565709312446,0.421242407465631,19,2016,"Amazonas"
2016-10-05,0.462551953449709,0.456136499030202,20,2016,"Amazonas"
2016-10-19,0.183592400690846,0.172226483936329,21,2016,"Amazonas"
2016-11-02,0,0,22,2016,"Amazonas"
2016-11-16,NA,NA,23,2016,"Amazonas"
2016-11-30,1.39130434782609,1.24901185770751,24,2016,"Amazonas"
2016-12-14,1.49681537598204,1.57830179615291,25,2016,"Amazonas"
2016-12-28,0.62944185548235,0.55162341031546,26,2016,"Amazonas"
2017-01-11,0.200562897699462,0.172225581373029,1,2017,"Amazonas"
2017-01-25,1.706,1.59115082552432,2,2017,"Amazonas"
2017-02-08,1.74635580393527,2.00458571495142,3,2017,"Amazonas"
2017-02-22,0.835037372973881,0.781662547450966,4,2017,"Amazonas"
2017-03-08,1.10980375523131,1.06756554905655,5,2017,"Amazonas"
2017-03-22,1.82211045364892,2.30149254638243,6,2017,"Amazonas"
2017-04-05,0.496145243065911,0.401580874036151,7,2017,"Amazonas"
2017-04-19,0,0,8,2017,"Amazonas"
2017-05-03,NA,NA,9,2017,"Amazonas"
2017-05-17,NA,NA,10,2017,"Amazonas"
2017-05-31,0.33,0.319292929292929,11,2017,"Amazonas"
2017-06-14,0.0604166666666667,0.0546804249390456,12,2017,"Amazonas"
2017-06-28,0,0,13,2017,"Amazonas"
2017-07-12,NA,NA,14,2017,"Amazonas"
2017-07-26,NA,NA,15,2017,"Amazonas"
2017-08-09,0,0,16,2017,"Amazonas"
2017-08-23,0,0,17,2017,"Amazonas"
2017-09-06,NA,NA,18,2017,"Amazonas"
2017-09-20,NA,NA,19,2017,"Amazonas"
2017-10-04,0.584699453551913,0.532621749834865,20,2017,"Amazonas"
2017-10-18,0.130449362843729,0.136566486734024,21,2017,"Amazonas"
2017-11-01,0.202290076335878,0.222225484439225,22,2017,"Amazonas"
2017-11-15,0.556237218813906,0.61118685147315,23,2017,"Amazonas"
2017-11-29,0.0711469534050179,0.0626505015861245,24,2017,"Amazonas"
2017-12-13,0.424242424242424,0.323283858998145,25,2017,"Amazonas"
2017-12-27,2.65416666666667,2.81817007475814,26,2017,"Amazonas"
2015-12-02,0.720571904780806,0.235363360450457,24,2015,"Antioquia"
2015-12-16,1.96659968971337,2.30575540115649,25,2015,"Antioquia"
2015-12-30,1.32704071682531,0.668324661102606,26,2015,"Antioquia"
2016-01-13,4.47020464315956,5.82379175867188,1,2016,"Antioquia"
2016-01-27,5.59450268920576,1.04306740832092,2,2016,"Antioquia"
2016-02-10,1.79375057860848,0.0237976853718108,3,2016,"Antioquia"
2016-02-24,1.52466381466081,0.0104753327709083,4,2016,"Antioquia"
2016-03-09,0.509530842000493,0.00131435071430244,5,2016,"Antioquia"
2016-03-23,0.506655164543472,0.00257576041057096,6,2016,"Antioquia"
2016-04-06,0.916638527035002,0.0119716384462897,7,2016,"Antioquia"
2016-04-20,0.736350082938011,0.010155225722873,8,2016,"Antioquia"
2016-05-04,1.19538344987188,0.0284017757429943,9,2016,"Antioquia"
2016-05-18,0.964437299060306,0.0168350192816648,10,2016,"Antioquia"
2016-06-01,0.424118562531716,0.00488198604257653,11,2016,"Antioquia"
2016-06-15,1.02254098565797,0.045368911245523,12,2016,"Antioquia"
2016-06-29,1.04564013427727,0.051909343684087,13,2016,"Antioquia"
2016-07-13,0.893734180192321,0.0381190550279955,14,2016,"Antioquia"
2016-07-27,1.06062773890377,0.0516782243308378,15,2016,"Antioquia"
2016-08-10,0.601180418674794,0.0217548958283024,16,2016,"Antioquia"
2016-08-24,0.553107502264674,0.036417172370008,17,2016,"Antioquia"
2016-09-07,3.1716262101592,1.40435454435214,18,2016,"Antioquia"
2016-09-21,0.610930869913044,0.026813902945494,19,2016,"Antioquia"
2016-10-05,0.315075050289293,0.01842483071511,20,2016,"Antioquia"
2016-10-19,1.93253078808634,1.51425202338239,21,2016,"Antioquia"
2016-11-02,2.34278428708132,0.963975881303848,22,2016,"Antioquia"
2016-11-16,0.358506163539913,0.0226234427233188,23,2016,"Antioquia"
2016-11-30,0.984937749926372,0.391572827672267,24,2016,"Antioquia"
2016-12-14,4.56840821400821,9.08535870443387,25,2016,"Antioquia"
2016-12-28,0.873798614508268,0.0748854255157082,26,2016,"Antioquia"
2017-01-11,0.0516334578639912,0.00253580802633596,1,2017,"Antioquia"
2017-01-25,0.0191654536632703,0.0156266429771465,2,2017,"Antioquia"
2017-02-08,0.777777777777778,0.564102564102564,3,2017,"Antioquia"
2017-02-22,4.62662559890486,6.29397526122721,4,2017,"Antioquia"
2017-03-08,1.35108774427466,1.22410470822816,5,2017,"Antioquia"
2017-03-22,0.4409803169081,0.187931956895911,6,2017,"Antioquia"
2017-04-05,2.29699139215362,3.24377153325284,7,2017,"Antioquia"
2017-04-19,0.399166922799142,0.275579535591753,8,2017,"Antioquia"
2017-05-03,0.735288507391512,0.636509224985528,9,2017,"Antioquia"
2017-05-17,1.26187563710499,1.25897054500023,10,2017,"Antioquia"
2017-05-31,2.22735893370912,2.63194503709751,11,2017,"Antioquia"
2017-06-14,0.53996207477155,0.397273026420441,12,2017,"Antioquia"
2017-06-28,0.94332895888014,0.913169411573772,13,2017,"Antioquia"
2017-07-12,1.46841165413534,1.84875331828811,14,2017,"Antioquia"
2017-07-26,1.59561541950113,1.90343182708159,15,2017,"Antioquia"
2017-08-09,0.938137426900585,0.866722574840105,16,2017,"Antioquia"
2017-08-23,0.734745167908433,0.692063639265427,17,2017,"Antioquia"
2017-09-06,0.207512370670265,0.190413457992405,18,2017,"Antioquia"
2017-09-20,1.66251728907331,1.85762159981558,19,2017,"Antioquia"
2017-10-04,0.539879545198694,0.52970936732483,20,2017,"Antioquia"
2017-10-18,1.04189419795222,1.03870483892924,21,2017,"Antioquia"
2017-11-01,1.41753861003861,1.46859899658641,22,2017,"Antioquia"
2017-11-15,0.861059621462306,0.811524812987337,23,2017,"Antioquia"
2017-11-29,0.648525641025641,0.626292574580604,24,2017,"Antioquia"
2017-12-13,0.924214365881033,0.93202603528887,25,2017,"Antioquia"
2017-12-27,0,0,26,2017,"Antioquia"
2015-12-02,0,0,24,2015,"Arauca"
2015-12-16,NA,NA,25,2015,"Arauca"
2015-12-30,2.33765227021041,3.16251190560203,26,2015,"Arauca"
2016-01-13,2.90860448388452,5.20428208596653,1,2016,"Arauca"
