report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,175,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,43,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,418,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,223,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,594,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,12,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,697,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,507,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,159,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,1464,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,392,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,113,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,55,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,200,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,16,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,2083,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,722,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,341,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,2210,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,359,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,57,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,14,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,18,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,64,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,2132,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,3742,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,60,cases
