report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,716,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,127,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,2172,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,1079,cases
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,783,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,56,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,3612,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,1906,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,34507,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,676,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,1877,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,1745,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,367,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,75,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,1443,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,404,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,1790,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,9669,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,32312,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,2547,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,1847,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,264,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,86,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,276,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,1907,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,17391,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,527,cases
