report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,618,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,375,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,1520,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,44,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,771,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,74,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,2893,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,1202,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,7,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,156,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,640,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,1060,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,333,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,1479,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,348,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,25061,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,6693,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,1382,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,25930,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,1500,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,1540,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,62,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,195,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,296,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,16055,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,920,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,233,cases
