report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,203,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,84,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,285,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,143,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,567,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,14,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,949,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,297,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,29,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,955,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,135,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,69,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,35,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,77,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,11,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,1111,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,657,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,229,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,1092,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,356,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,64,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,11,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,20,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,31,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,185,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,1718,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,24,cases
,,,,,,,9351,
