report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,171,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,32,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,383,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,236,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,650,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,9,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,957,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,481,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,157,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,1537,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,259,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,94,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,50,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,149,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,11,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,1824,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,780,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,301,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,1458,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,339,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,44,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,13,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,14,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,49,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,1963,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,3509,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,48,cases
