report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,131,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,74,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,198,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,77,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,402,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,7,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,457,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,131,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,9,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,290,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,42,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,36,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,10,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,36,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,13,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,678,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,358,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,65,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,507,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,267,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,54,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,14,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,22,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,14,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,165,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,821,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,16,cases
