report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,166,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,32,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,382,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,236,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,650,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,20,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,934,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,463,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,143,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,1523,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,207,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,92,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,50,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,143,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,11,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,1566,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,776,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,299,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,1458,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,327,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,47,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,10,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,14,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,50,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,1910,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,3482,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,48,cases
,,,,,,,15039,
