report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,175,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,32,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,407,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,230,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,650,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,12,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,951,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,446,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,162,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,1484,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,277,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,101,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,52,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,158,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,12,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,1868,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,767,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,306,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,1458,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,334,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,51,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,13,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,15,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,48,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,1963,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,3566,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,48,cases
