report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,9,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,19,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,132,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,10,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,148,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,3,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,145,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,30,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,8,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,62,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,134,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,50,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,24,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,230,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,2,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,427,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,170,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,69,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,390,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,221,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,17,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,8,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,7,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,29,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,427,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,482,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,13,cases
