report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,9,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,17,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,261,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,16,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,260,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,7,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,198,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,79,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,9,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,84,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,266,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,147,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,62,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,79,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,5,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,556,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,223,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,116,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,1470,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,240,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,17,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,9,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,5,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,40,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,513,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,688,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,25,cases
